key,doi,status
kwon2023pagedattention,,no DOI printed
patel2024splitwise,10.1109/ISCA59077.2024.00019,DOI retained and entry consistency checked
zhong2024distserve,,no DOI printed
agrawal2024sarathi,,no DOI printed
serverlessllm2024,,no DOI printed
alpaserve2023,,no DOI printed
llumnix2024,,no DOI printed
mooncake2025,,publisher-verified correction
frugalgpt2024,,no DOI printed
routellm2025,,no DOI printed
prism2026,10.1609/aaai.v40i33.40041,DOI retained and entry consistency checked
qosrouting2025,10.1109/TMC.2025.3590969,DOI retained and entry consistency checked
consroute2026,,no DOI printed
burstgpt2025,10.1145/3711896.3737413,DOI retained and entry consistency checked
anick1982stochastic,,no DOI printed
fischer1993mmpp,,no DOI printed
jang2008reflected,10.1016/j.orl.2007.05.014,publisher-verified correction
yin2010hybrid,,no DOI printed
shao2018invariant,10.1137/18M116678X,publisher-verified correction
kang2014stationary,,no DOI printed
budhiraja2014numerical,10.1287/moor.2013.0599,publisher-verified correction
gardiner2009stochastic,,no DOI printed
wolff1982pasta,10.1287/opre.30.2.223,DOI retained and entry consistency checked
amaran2016review,10.1007/s10479-015-2019-x,DOI retained and entry consistency checked
boesel2003cleanup,10.1287/opre.51.5.814.16751,DOI retained and entry consistency checked
chick2001crn,10.1287/mnsc.47.8.1133.10229,DOI retained and entry consistency checked
chen2008subset,10.1287/ijoc.1080.0268,DOI retained and entry consistency checked
jones1998ego,10.1023/A:1008306431147,DOI retained and entry consistency checked
snoek2012bo,,no DOI printed
kennedy2000multifidelity,10.1093/biomet/87.1.1,DOI retained and entry consistency checked
mikkola2023rmfbo,,no DOI printed
fan2024imfbo,,no DOI printed
gardner2014constrained,,no DOI printed
sui2015safeopt,,no DOI printed
lubsen2024safemultitask,,no DOI printed
clopper1934,10.1093/biomet/26.4.404,DOI retained and entry consistency checked
sargent2013validation,10.1057/jos.2012.20,DOI retained and entry consistency checked
law2015simulation,,no DOI printed
