scenario_id,design,K,mu_max,rho,arrival_scv,mean_jump_fraction,tau,qH,beta,jump_cv,cloud_cost_multiplier,deactivation_mean,lambda_H,lambda_L,mean_H,mean_L,cv_H,cv_L,cW,cB,cL,cC,policy_count,diffusion_best_idx,exhaustive_train_idx,holdout_oracle_idx,single_train_idx,selection_idx,final_idx,selection_candidate_count,certified,fallback,certificate_stage_reps,certificate_ambiguous_count,certificate_simulation_count,algorithm_simulation_count,exhaustive_simulation_count,work_reduction,holdout_regret_vs_exhaustive,holdout_regret_vs_oracle,hysteresis_gain_vs_best_single,adaptive_gain_vs_best_single,exhaustive_holdout_objective,adaptive_holdout_objective,single_holdout_objective,selected_alpha_on,selected_alpha_off,exhaustive_alpha_on,exhaustive_alpha_off,pareto_count,distinct_weight_optima,robust_idx,robust_max_additive_regret,equal_weight_idx,elapsed_seconds,group,oracle_hysteresis_gain_vs_single,holdout_oracle_all,holdout_oracle_single,selected_is_strict_hysteresis,exhaustive_is_strict_hysteresis,exact_match_exhaustive
F01,factorial,40.0,120.0,0.55,1.0,0.05,0.25,0.4,1.0,0.8,1.0,0.5,11.478260869565219,23.294117647058826,2.3,1.7,0.8,0.8,1.0,10.0,2.5,0.25,190,42,43,34,8,43,42,43,0,1,20,3,860,1234,3830,0.6778067885117494,0.0,0.009743633847031917,-0.038788407331327074,-0.020865536410255126,0.07436133455708276,0.0730783315976936,0.071584678874227,18.0,14.0,18.0,16.0,82,10,17,0.2081542960713974,20,18.94667673110962,development,0.015801443913437296,0.0723731540839448,0.0735351150805584,1,1,0
F03,factorial,40.0,120.0,0.55,1.0,0.05,4.0,0.4,1.0,0.8,1.0,0.5,11.478260869565219,23.294117647058826,2.3,1.7,0.8,0.8,1.0,10.0,2.5,0.25,190,23,23,24,2,23,24,50,0,1,20,40,1000,1430,3830,0.6266318537859008,0.0,0.0,-0.017186037091135982,0.012631143961149845,0.23124120969060766,0.22446274364342117,0.22733423509419382,14.0,8.0,14.0,6.0,50,6,46,0.22085126480428804,24,19.336978435516357,development,0.003094884870593384,0.2244627436434211,0.2251595866415872,1,1,0
F04,factorial,40.0,120.0,0.55,1.0,0.1,0.25,0.4,1.0,0.8,1.0,0.5,5.739130434782609,11.647058823529413,4.6,3.4,0.8,0.8,1.0,10.0,2.5,0.25,190,9,12,13,4,10,15,42,0,1,20,18,840,1206,3830,0.6851174934725849,0.01790928401627062,0.04528619975547365,0.0013100149697079669,-0.01657580761640459,0.26071868714846747,0.2653879721649586,0.2610606805479875,12.0,2.0,10.0,6.0,99,8,35,0.29843587151032297,13,10.046125173568726,development,0.028533716716410792,0.2538902476920114,0.2613474621413043,1,1,0
F06,factorial,40.0,120.0,0.55,1.0,0.1,4.0,0.4,1.0,0.8,1.0,0.5,5.739130434782609,11.647058823529413,4.6,3.4,0.8,0.8,1.0,10.0,2.5,0.25,190,0,1,7,0,0,5,32,0,1,20,5,640,926,3830,0.75822454308094,0.0,0.011243518495603217,-0.015524810622126541,-0.007693142752121258,0.6140076408142524,0.6092724498448099,0.6046210140726169,6.0,6.0,4.0,2.0,62,5,73,0.3456571547361269,7,9.759278059005737,development,0.009532057414635805,0.6024982496315094,0.6082965674374491,0,1,0
F07,factorial,40.0,120.0,0.55,4.0,0.05,0.25,0.4,1.0,0.8,1.0,0.5,11.478260869565219,23.294117647058826,2.3,1.7,0.8,0.8,1.0,10.0,2.5,0.25,190,42,1,5,1,14,2,48,0,1,20,14,960,1374,3830,0.6412532637075719,0.0,0.004048903432680412,-0.014194953918875593,0.006278350753785091,0.27414264902061386,0.2686085986336719,0.270305672456089,4.0,4.0,4.0,2.0,102,12,33,0.3326257225054236,20,19.318131923675537,development,0.0,0.2675254140663295,0.2675254140663295,0,1,0
F09,factorial,40.0,120.0,0.55,4.0,0.05,4.0,0.4,1.0,0.8,1.0,0.5,11.478260869565219,23.294117647058826,2.3,1.7,0.8,0.8,1.0,10.0,2.5,0.25,190,23,3,1,0,1,1,45,0,1,20,2,900,1290,3830,0.6631853785900783,0.0,0.0,-0.020055094490324235,0.0036349968169820225,0.9069982471150898,0.885933824805176,0.8891659401674535,4.0,2.0,6.0,2.0,82,6,73,0.3612177104345288,6,18.24008083343506,development,0.013074301745755839,0.885933824805176,0.8976702363433124,1,1,0
F10,factorial,40.0,120.0,0.55,4.0,0.1,0.25,0.4,1.0,0.8,1.0,0.5,5.739130434782609,11.647058823529413,4.6,3.4,0.8,0.8,1.0,10.0,2.5,0.25,190,9,1,0,0,1,0,36,0,1,20,2,720,1038,3830,0.7289817232375979,0.0,0.0,-0.04284373678166945,-0.01127601478348794,0.5952194973570939,0.5772017225383533,0.5707657593974786,2.0,2.0,4.0,2.0,113,6,43,0.4401651709710845,0,10.074783086776733,development,0.0,0.5772017225383533,0.5772017225383533,0,1,0
F12,factorial,40.0,120.0,0.55,4.0,0.1,4.0,0.4,1.0,0.8,1.0,0.5,5.739130434782609,11.647058823529413,4.6,3.4,0.8,0.8,1.0,10.0,2.5,0.25,190,0,3,0,0,0,1,32,0,1,20,2,640,926,3830,0.75822454308094,0.0,0.004838457425693187,-0.017022169997079416,0.005799984646742738,1.6460535900826125,1.6091158608048015,1.6185031542501571,4.0,2.0,6.0,2.0,110,5,44,0.462145399127479,0,9.73639178276062,development,0.0,1.6013677113107447,1.6013677113107447,1,1,0
F27,factorial,40.0,120.0,0.9,1.0,0.05,4.0,0.4,1.0,0.8,1.0,0.5,18.782608695652176,38.11764705882353,2.3,1.7,0.8,0.8,1.0,10.0,2.5,0.25,190,0,0,1,0,10,1,41,0,1,20,3,820,1178,3830,0.6924281984334204,0.0,0.0,0.003908128059709012,0.005494743554537915,3.1461536948709825,3.141142373785035,3.1584975076069823,4.0,2.0,2.0,2.0,101,6,131,0.512597145682863,0,30.693737268447876,development,0.0015928405195580284,3.141142373785035,3.1461536948709825,1,0,0
F28,factorial,40.0,120.0,0.9,1.0,0.1,0.25,0.4,1.0,0.8,1.0,0.5,9.391304347826088,19.058823529411764,4.6,3.4,0.8,0.8,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,33,1,0,10,0,199,493,3830,0.8712793733681462,0.0,0.0,0.0240207088245562,0.0240207088245562,0.6510362785975089,0.6510362785975089,0.6670595211230537,2.0,2.0,2.0,2.0,119,7,64,0.4335099061838505,9,14.88224196434021,development,0.0,0.6510362785975089,0.6510362785975089,0,0,1
F31,factorial,40.0,120.0,0.9,4.0,0.05,0.25,0.4,1.0,0.8,1.0,0.5,18.782608695652176,38.11764705882353,2.3,1.7,0.8,0.8,1.0,10.0,2.5,0.25,190,0,0,0,0,1,0,32,0,1,20,1,640,926,3830,0.75822454308094,0.0,0.0,-0.004278074676254047,-0.004278074676254047,0.7047855656231139,0.7047855656231139,0.7017832843262195,2.0,2.0,2.0,2.0,128,9,124,0.4815352592039723,2,29.17680311203003,development,0.0,0.7047855656231139,0.7047855656231139,0,0,1
F36,factorial,40.0,120.0,0.9,4.0,0.1,4.0,0.4,1.0,0.8,1.0,0.5,9.391304347826088,19.058823529411764,4.6,3.4,0.8,0.8,1.0,10.0,2.5,0.25,190,0,0,1,0,0,0,36,1,0,20,0,368,686,3830,0.8208877284595301,0.0,0.01126371058529373,-0.0038490401810670764,-0.0038490401810670764,3.53523589722779,3.53523589722779,3.5216808062994507,2.0,2.0,2.0,2.0,155,5,74,0.49010968292756796,1,15.592244148254395,development,0.011138252532343499,3.495859547043061,3.53523589722779,0,0,1
