scenario_id,group,design,tau,delay_aware_idx,near_instant_idx,delay_aware_alpha_on,delay_aware_alpha_off,near_instant_alpha_on,near_instant_alpha_off,delay_aware_holdout_objective,near_instant_holdout_objective,delay_aware_improvement,same_policy
F01,development,factorial,0.25,42,53,18.0,14.0,20.0,18.0,0.0730783315976936,0.0745570810225795,0.019833789153280674,0
F03,development,factorial,4.0,23,53,14.0,6.0,20.0,18.0,0.2312412096906076,0.2334970066905464,0.009660924702681139,0
F04,development,factorial,0.25,9,27,8.0,8.0,14.0,14.0,0.2627173607080879,0.2706651304150732,0.029363847846958165,0
F06,development,factorial,4.0,0,27,2.0,2.0,14.0,14.0,0.613393177565007,0.6338346861308256,0.03225053631981165,0
F07,development,factorial,0.25,42,53,18.0,14.0,20.0,18.0,0.3121391547557334,0.339889350292311,0.08164479267359193,0
F09,development,factorial,4.0,23,53,14.0,6.0,20.0,18.0,0.921002454009044,0.959867862460807,0.04049037369802549,0
F10,development,factorial,0.25,9,27,8.0,8.0,14.0,14.0,0.6536948898658557,0.7470810738241194,0.12500140510887714,0
F12,development,factorial,4.0,0,27,2.0,2.0,14.0,14.0,1.6013677113107447,1.6940137060744975,0.05469022737628222,0
F27,development,factorial,4.0,0,9,2.0,2.0,8.0,8.0,3.1461536948709825,3.30452791454269,0.04792642815172724,0
F28,development,factorial,0.25,0,0,2.0,2.0,2.0,2.0,0.6510362785975089,0.6510362785975089,0.0,1
F31,development,factorial,0.25,0,9,2.0,2.0,8.0,8.0,0.7047855656231139,0.8545018038061691,0.1752088029728912,0
F36,development,factorial,4.0,0,0,2.0,2.0,2.0,2.0,3.53523589722779,3.53523589722779,0.0,1
R03,development,lhs,1.0,0,0,3.529874482413023,3.529874482413023,3.529874482413023,3.529874482413023,2.3129856692012747,2.3129856692012747,0.0,1
R06,development,lhs,1.0,0,0,3.3242412372975574,3.3242412372975574,3.3242412372975574,3.3242412372975574,1.1374965977936264,1.1374965977936264,0.0,1
R07,development,lhs,1.0,0,5,2.3049411054251503,2.3049411054251503,6.91482331627545,6.91482331627545,0.7907216692734769,0.7680180022294105,-0.0295613735331228,0
R08,development,lhs,1.0,0,9,3.9521097703149763,3.9521097703149763,15.808439081259905,15.808439081259905,1.7316696625204528,1.8402121567044665,0.05898368499988411,0
R12,development,lhs,1.0,0,2,1.6508675692616472,1.6508675692616472,3.301735138523294,3.301735138523294,1.351102660155764,1.365472470892694,0.010523691281403465,0
R13,development,lhs,1.0,0,0,3.625570981185583,3.625570981185583,3.625570981185583,3.625570981185583,0.7832856453653961,0.7832856453653961,0.0,1
R17,development,lhs,1.0,0,35,2.011589865948815,2.011589865948815,16.09271892759052,16.09271892759052,0.7985620478110408,0.9174406632537352,0.12957635322276567,0
R18,development,lhs,1.0,0,0,3.827295598473859,3.827295598473859,3.827295598473859,3.827295598473859,1.980189361830618,1.980189361830618,0.0,1
R20,development,lhs,1.0,0,2,3.116994806255219,3.116994806255219,6.233989612510438,6.233989612510438,1.4742590486500935,1.5219904838636746,0.03136119162349275,0
R22,development,lhs,1.0,0,2,1.5944637439382392,1.5944637439382392,3.1889274878764784,3.1889274878764784,1.33762369144162,1.3949819729678972,0.04111757903526485,0
R23,development,lhs,1.0,0,9,2.7273053602342148,2.7273053602342148,10.909221440936857,10.909221440936857,0.3262272621786774,0.3963265241748365,0.1768724970959433,0
R24,development,lhs,1.0,0,0,3.2113378711647993,3.2113378711647993,3.2113378711647993,3.2113378711647993,0.8334905066721984,0.8334905066721984,0.0,1
V01,fresh,fresh_lhs,1.1781021880900149,2,53,5.51305739097279,5.51305739097279,27.565286954863947,24.80875825937755,0.6817565838096905,0.6130824004096078,-0.11201460579230561,0
V02,fresh,fresh_lhs,0.44561921073949634,0,0,2.1221059486531253,2.1221059486531253,2.1221059486531253,2.1221059486531253,1.3367852065116483,1.3367852065116483,0.0,1
V03,fresh,fresh_lhs,0.7424640106831933,0,0,2.9794386783181643,2.9794386783181643,2.9794386783181643,2.9794386783181643,0.8174518308153209,0.8174518308153209,0.0,1
V04,fresh,fresh_lhs,0.927339612118801,0,0,1.629930526442986,1.629930526442986,1.629930526442986,1.629930526442986,1.059930243118916,1.059930243118916,0.0,1
V05,fresh,fresh_lhs,2.93059727051036,0,26,3.4215277970130717,3.4215277970130717,23.950694579091504,20.529166782078427,0.5579405204388352,0.5635520318455115,0.009957397169343478,0
V06,fresh,fresh_lhs,3.535142843910458,0,0,2.1433162625806115,2.1433162625806115,2.1433162625806115,2.1433162625806115,1.7736378572811409,1.7736378572811409,0.0,1
V07,fresh,fresh_lhs,0.3073060188496421,0,0,3.87146085717108,3.87146085717108,3.87146085717108,3.87146085717108,2.618495524956885,2.618495524956885,0.0,1
V08,fresh,fresh_lhs,0.5085776298122693,0,0,3.238915399423914,3.238915399423914,3.238915399423914,3.238915399423914,1.665462629242532,1.665462629242532,0.0,1
V09,fresh,fresh_lhs,1.7325841752646318,0,27,2.7282950176017664,2.7282950176017664,19.098065123212365,19.098065123212365,0.9833489793371976,1.0699994512462951,0.0809817909795845,0
V10,fresh,fresh_lhs,1.3328601362122767,0,2,1.8490482228312424,1.8490482228312424,3.6980964456624843,3.6980964456624843,0.4592591005063917,0.4685940758474561,0.019921240626403665,0
V11,fresh,fresh_lhs,2.266559731672014,0,0,3.6407747531703905,3.6407747531703905,3.6407747531703905,3.6407747531703905,1.403482315700484,1.403482315700484,0.0,1
V12,fresh,fresh_lhs,0.3421290539118627,0,0,2.4996380088394683,2.4996380088394683,2.4996380088394683,2.4996380088394683,1.1616239722225237,1.1616239722225237,0.0,1
