scenario_id,rho,qH,tau,init_seed,selected_idx,baseline_idx,vc,vh,vl,uc,uh,ul,cert,mean_ce,mean_dbh,mean_dbl
BG01,0.7,0.2,0.5,0,4,52,89,38,44,0.679008022237441,0.3373512446667611,0.3798740846363575,0,0.2121473478452496,-0.016210981656065618,-0.012626271012622446
BG01,0.7,0.2,0.5,1,4,52,89,38,44,0.679008022237441,0.3373512446667611,0.3798740846363575,0,0.2121473478452496,-0.016210981656065618,-0.012626271012622446
BG01,0.7,0.2,0.5,2,4,52,89,38,44,0.679008022237441,0.3373512446667611,0.3798740846363575,0,0.2121473478452496,-0.016210981656065618,-0.012626271012622446
BG01,0.7,0.2,0.5,3,4,52,89,38,44,0.679008022237441,0.3373512446667611,0.3798740846363575,0,0.2121473478452496,-0.016210981656065618,-0.012626271012622446
BG01,0.7,0.2,0.5,4,4,52,89,38,44,0.679008022237441,0.3373512446667611,0.3798740846363575,0,0.2121473478452496,-0.016210981656065618,-0.012626271012622446
BG02,0.7,0.2,2.0,0,10,52,99,40,40,0.7411360977834568,0.3516106498691744,0.3516106498691744,0,0.5067254137560079,-0.017323462528626016,-0.01666887658042129
BG02,0.7,0.2,2.0,1,10,52,99,40,40,0.7411360977834568,0.3516106498691744,0.3516106498691744,0,0.5067254137560079,-0.017323462528626016,-0.01666887658042129
BG02,0.7,0.2,2.0,2,10,52,99,40,40,0.7411360977834568,0.3516106498691744,0.3516106498691744,0,0.5067254137560079,-0.017323462528626016,-0.01666887658042129
BG02,0.7,0.2,2.0,3,10,52,99,40,40,0.7411360977834568,0.3516106498691744,0.3516106498691744,0,0.5067254137560079,-0.017323462528626016,-0.01666887658042129
BG02,0.7,0.2,2.0,4,10,52,99,40,40,0.7411360977834568,0.3516106498691744,0.3516106498691744,0,0.5067254137560079,-0.017323462528626016,-0.01666887658042129
BG03,0.7,0.5,0.5,0,0,52,114,16,31,0.8308362974392537,0.1728659975515368,0.28669526275463647,0,0.3997486872339924,-0.031047666800463797,-0.03440065250462867
BG03,0.7,0.5,0.5,1,0,52,114,16,31,0.8308362974392537,0.1728659975515368,0.28669526275463647,0,0.3997486872339924,-0.031047666800463797,-0.03440065250462867
BG03,0.7,0.5,0.5,2,0,52,114,16,31,0.8308362974392537,0.1728659975515368,0.28669526275463647,0,0.3997486872339924,-0.031047666800463797,-0.03440065250462867
BG03,0.7,0.5,0.5,3,0,52,114,16,31,0.8308362974392537,0.1728659975515368,0.28669526275463647,0,0.3997486872339924,-0.031047666800463797,-0.03440065250462867
BG03,0.7,0.5,0.5,4,0,52,114,16,31,0.8308362974392537,0.1728659975515368,0.28669526275463647,0,0.3997486872339924,-0.031047666800463797,-0.03440065250462867
BG04,0.7,0.5,2.0,0,0,52,106,24,35,0.783569218682919,0.23465803031898322,0.31579065859429284,0,0.614427982544586,-0.01854890776580638,-0.03011275619427529
BG04,0.7,0.5,2.0,1,0,52,106,24,35,0.783569218682919,0.23465803031898322,0.31579065859429284,0,0.614427982544586,-0.01854890776580638,-0.03011275619427529
BG04,0.7,0.5,2.0,2,0,52,106,24,35,0.783569218682919,0.23465803031898322,0.31579065859429284,0,0.614427982544586,-0.01854890776580638,-0.03011275619427529
BG04,0.7,0.5,2.0,3,0,52,106,24,35,0.783569218682919,0.23465803031898322,0.31579065859429284,0,0.614427982544586,-0.01854890776580638,-0.03011275619427529
BG04,0.7,0.5,2.0,4,0,52,106,24,35,0.783569218682919,0.23465803031898322,0.31579065859429284,0,0.614427982544586,-0.01854890776580638,-0.03011275619427529
BG05,0.7,0.8,0.5,0,10,52,116,5,23,0.8424201315644431,0.08012133003784622,0.22708787653639967,0,0.374163975106938,-0.009264617505777558,-0.03606376466425344
BG05,0.7,0.8,0.5,1,10,52,116,5,23,0.8424201315644431,0.08012133003784622,0.22708787653639967,0,0.374163975106938,-0.009264617505777558,-0.03606376466425344
BG05,0.7,0.8,0.5,2,10,52,116,5,23,0.8424201315644431,0.08012133003784622,0.22708787653639967,0,0.374163975106938,-0.009264617505777558,-0.03606376466425344
BG05,0.7,0.8,0.5,3,10,52,116,5,23,0.8424201315644431,0.08012133003784622,0.22708787653639967,0,0.374163975106938,-0.009264617505777558,-0.03606376466425344
BG05,0.7,0.8,0.5,4,10,52,116,5,23,0.8424201315644431,0.08012133003784622,0.22708787653639967,0,0.374163975106938,-0.009264617505777558,-0.03606376466425344
BG06,0.7,0.8,2.0,0,21,52,100,14,43,0.7472540337921116,0.15688285617958464,0.37283899866090603,0,0.49672431533436506,-0.005955350392195788,-0.023421857145637714
BG06,0.7,0.8,2.0,1,21,52,100,14,43,0.7472540337921116,0.15688285617958464,0.37283899866090603,0,0.49672431533436506,-0.005955350392195788,-0.023421857145637714
