K,rho,qH,tau,idx,meanBH,meanBL,vh,vl,uh,ul,cert
40.0,0.7,0.2,0.5,8,0.12930710977924,0.10559812446305683,96,88,0.9889955060138118,0.9364310974388407,0
40.0,0.7,0.2,2.0,73,0.2048430657180745,0.19588547508099904,100,100,1.0,1.0,0
40.0,0.7,0.5,0.5,0,0.16045916784679204,0.08319639547235974,100,73,1.0,0.8139335777092593,0
40.0,0.7,0.5,2.0,9,0.20346379957140612,0.16398586012591948,100,96,1.0,0.9889955060138118,0
40.0,0.7,0.8,0.5,10,0.23198742251562676,0.08593904506398438,100,72,1.0,0.8052063725088184,0
40.0,0.7,0.8,2.0,0,0.24018022364426422,0.13287975649872136,100,82,1.0,0.8896887708467394,0
40.0,0.9,0.2,0.5,5,0.1437524556079717,0.12144795451305969,100,89,1.0,0.9437929797145125,0
40.0,0.9,0.2,2.0,2,0.21094049811508508,0.19441150476561503,100,99,1.0,0.9997468539670226,0
40.0,0.9,0.5,0.5,0,0.19381892707734344,0.07661055097046084,100,62,1.0,0.7152325238585204,0
40.0,0.9,0.5,2.0,0,0.23213913542111936,0.1761736970861486,100,95,1.0,0.9835681208179479,0
40.0,0.9,0.8,0.5,1,0.26863871525537,0.06469011374393098,100,45,1.0,0.552719811226064,0
40.0,0.9,0.8,2.0,0,0.28927340465494533,0.13885917498370728,100,82,1.0,0.8896887708467394,0
60.0,0.7,0.2,0.5,27,0.10257262577908899,0.08250789982232302,97,74,0.9937700284616936,0.8226055621323475,0
60.0,0.7,0.2,2.0,2,0.13621197135614269,0.13075779010707442,98,96,0.9975686631760574,0.9889955060138118,0
60.0,0.7,0.5,0.5,32,0.126241837238993,0.07078429229997488,100,65,1.0,0.7427062214685488,0
60.0,0.7,0.5,2.0,55,0.14820505199979384,0.11744802893176896,100,90,1.0,0.9509953107785141,0
60.0,0.7,0.8,0.5,0,0.17759500048266127,0.04597872704199502,100,35,1.0,0.4518493618239694,0
60.0,0.7,0.8,2.0,6,0.18004295692061503,0.08795366378264874,100,63,1.0,0.7244334203854486,0
60.0,0.9,0.2,0.5,15,0.10103542039745413,0.0810555838412928,94,69,0.9776651139286836,0.778711207869329,0
60.0,0.9,0.2,2.0,5,0.17948906881469834,0.1707573251588464,99,96,0.9997468539670226,0.9889955060138118,0
60.0,0.9,0.5,0.5,9,0.14942150167613877,0.06562255250340268,100,54,1.0,0.640156647020588,0
60.0,0.9,0.5,2.0,3,0.19749737299837952,0.130612241356998,100,88,1.0,0.9364310974388407,0
60.0,0.9,0.8,0.5,0,0.24551889561025603,0.025763543241954494,100,21,1.0,0.30291537935054064,0
60.0,0.9,0.8,2.0,10,0.25640991685817005,0.09385400409229382,100,57,1.0,0.6686089833686168,0
80.0,0.7,0.2,0.5,86,0.07695436851781022,0.06851209061385986,84,58,0.9056897100260538,0.6780144606452031,0
80.0,0.7,0.2,2.0,15,0.11258222138554612,0.10444968297631005,93,79,0.9713947110925613,0.8650563042946708,0
80.0,0.7,0.5,0.5,42,0.08644718919321585,0.04757062337649809,97,37,0.9937700284616936,0.47235164055168316,0
80.0,0.7,0.5,2.0,10,0.11917020030191627,0.09623017068728361,99,75,0.9997468539670226,0.8312202619006582,0
80.0,0.7,0.8,0.5,2,0.1640833572896537,0.03440303304684604,100,27,1.0,0.3680162729089749,0
80.0,0.7,0.8,2.0,1,0.1724697578522847,0.07979497848628914,100,56,1.0,0.6591639762765417,0
80.0,0.9,0.2,0.5,20,0.07276937476923082,0.058715970443025185,83,53,0.8977350899644717,0.6305948358056055,0
