rho,qH,tau,bh,bl,feasible_n,minBH,minBL,minMaxRatio
0.25,0.2,0.5,0.02,0.05,190,0.0,0.0,0.0
0.25,0.2,0.5,0.05,0.1,190,0.0,0.0,0.0
0.25,0.2,0.5,0.1,0.15,190,0.0,0.0,0.0
0.25,0.2,2.0,0.02,0.05,190,0.0,0.0,0.0
0.25,0.2,2.0,0.05,0.1,190,0.0,0.0,0.0
0.25,0.2,2.0,0.1,0.15,190,0.0,0.0,0.0
0.25,0.5,0.5,0.02,0.05,190,0.0,0.0,0.0
0.25,0.5,0.5,0.05,0.1,190,0.0,0.0,0.0
0.25,0.5,0.5,0.1,0.15,190,0.0,0.0,0.0
0.25,0.5,2.0,0.02,0.05,190,0.0,0.0,0.0
0.25,0.5,2.0,0.05,0.1,190,0.0,0.0,0.0
0.25,0.5,2.0,0.1,0.15,190,0.0,0.0,0.0
0.25,0.8,0.5,0.02,0.05,190,0.0,0.0,0.0
0.25,0.8,0.5,0.05,0.1,190,0.0,0.0,0.0
0.25,0.8,0.5,0.1,0.15,190,0.0,0.0,0.0
0.25,0.8,2.0,0.02,0.05,190,0.0,0.0,0.0
0.25,0.8,2.0,0.05,0.1,190,0.0,0.0,0.0
0.25,0.8,2.0,0.1,0.15,190,0.0,0.0,0.0
0.35,0.2,0.5,0.02,0.05,190,0.0,0.0,0.0
0.35,0.2,0.5,0.05,0.1,190,0.0,0.0,0.0
0.35,0.2,0.5,0.1,0.15,190,0.0,0.0,0.0
0.35,0.2,2.0,0.02,0.05,190,0.0010162601626016261,0.001173320172753374,0.05081300813008131
0.35,0.2,2.0,0.05,0.1,190,0.0010162601626016261,0.001173320172753374,0.02032520325203252
0.35,0.2,2.0,0.1,0.15,190,0.0010162601626016261,0.001173320172753374,0.01016260162601626
0.35,0.5,0.5,0.02,0.05,190,0.0,0.0,0.0
0.35,0.5,0.5,0.05,0.1,190,0.0,0.0,0.0
0.35,0.5,0.5,0.1,0.15,190,0.0,0.0,0.0
0.35,0.5,2.0,0.02,0.05,190,0.0011009857024349777,0.002347156593810029,0.07029256826911523
0.35,0.5,2.0,0.05,0.1,190,0.0011009857024349777,0.002347156593810029,0.035146284134557615
0.35,0.5,2.0,0.1,0.15,190,0.0011009857024349777,0.002347156593810029,0.01821391204326693
0.35,0.8,0.5,0.02,0.05,190,0.0027552004408320703,0.0,0.1377600220416035
0.35,0.8,0.5,0.05,0.1,190,0.0027552004408320703,0.0,0.0551040088166414
0.35,0.8,0.5,0.1,0.15,190,0.0027552004408320703,0.0,0.0275520044083207
0.35,0.8,2.0,0.02,0.05,190,0.003565367411855385,0.002863046862859795,0.17826837059276926
0.35,0.8,2.0,0.05,0.1,190,0.003565367411855385,0.002863046862859795,0.0713073482371077
0.35,0.8,2.0,0.1,0.15,190,0.003565367411855385,0.002863046862859795,0.03565367411855385
0.45,0.2,0.5,0.02,0.05,96,0.0020080321285140565,0.0025377926275539915,0.11034881408676715
0.45,0.2,0.5,0.05,0.1,190,0.0020080321285140565,0.0025377926275539915,0.055174407043383576
0.45,0.2,0.5,0.1,0.15,190,0.0020080321285140565,0.0025377926275539915,0.029884242853768013
0.45,0.2,2.0,0.02,0.05,36,0.004848224622564234,0.006957245396057559,0.24241123112821167
0.45,0.2,2.0,0.05,0.1,190,0.004848224622564234,0.006957245396057559,0.09696449245128466
0.45,0.2,2.0,0.1,0.15,190,0.004848224622564234,0.006957245396057559,0.04848224622564233
0.45,0.5,0.5,0.02,0.05,87,0.00573408794938143,0.0021899065740749167,0.2867043974690715
0.45,0.5,0.5,0.05,0.1,190,0.00573408794938143,0.0021899065740749167,0.1146817589876286
0.45,0.5,0.5,0.1,0.15,190,0.00573408794938143,0.0021899065740749167,0.0573408794938143
0.45,0.5,2.0,0.02,0.05,39,0.009132008663910224,0.010878105870402293,0.4566004331955112
0.45,0.5,2.0,0.05,0.1,190,0.009132008663910224,0.010878105870402293,0.18264017327820448
0.45,0.5,2.0,0.1,0.15,190,0.009132008663910224,0.010878105870402293,0.09132008663910224
0.45,0.8,0.5,0.02,0.05,38,0.014556662407486036,0.0018241626794258375,0.7278331203743018
0.45,0.8,0.5,0.05,0.1,190,0.014556662407486036,0.0018241626794258375,0.2911332481497207
0.45,0.8,0.5,0.1,0.15,190,0.014556662407486036,0.0018241626794258375,0.14556662407486035
0.45,0.8,2.0,0.02,0.05,0,0.02005131912773146,0.0076806243878653375,1.002565956386573
0.45,0.8,2.0,0.05,0.1,190,0.02005131912773146,0.0076806243878653375,0.40102638255462913
0.45,0.8,2.0,0.1,0.15,190,0.02005131912773146,0.0076806243878653375,0.20051319127731457
0.55,0.2,0.5,0.02,0.05,63,0.009399185785446742,0.00806429645281574,0.46995928927233704
0.55,0.2,0.5,0.05,0.1,190,0.009399185785446742,0.00806429645281574,0.18798371570893482
0.55,0.2,0.5,0.1,0.15,190,0.009399185785446742,0.00806429645281574,0.09399185785446741
0.55,0.2,2.0,0.02,0.05,0,0.033063180724098445,0.03527633309533534,1.6531590362049222
0.55,0.2,2.0,0.05,0.1,51,0.033063180724098445,0.03527633309533534,0.6612636144819689
0.55,0.2,2.0,0.1,0.15,190,0.033063180724098445,0.03527633309533534,0.33063180724098445
0.55,0.5,0.5,0.02,0.05,3,0.017635032052584907,0.011873660106575076,0.8817516026292453
0.55,0.5,0.5,0.05,0.1,147,0.017635032052584907,0.011873660106575076,0.3527006410516981
0.55,0.5,0.5,0.1,0.15,190,0.017635032052584907,0.011873660106575076,0.17635032052584906
0.55,0.5,2.0,0.02,0.05,0,0.03797024408903394,0.0319617030974354,1.8985122044516969
0.55,0.5,2.0,0.05,0.1,62,0.03797024408903394,0.0319617030974354,0.7594048817806788
0.55,0.5,2.0,0.1,0.15,190,0.03797024408903394,0.0319617030974354,0.3797024408903394
0.55,0.8,0.5,0.02,0.05,0,0.039898440742837514,0.00785319178176321,1.9949220371418757
0.55,0.8,0.5,0.05,0.1,20,0.039898440742837514,0.00785319178176321,0.7979688148567502
0.55,0.8,0.5,0.1,0.15,190,0.039898440742837514,0.00785319178176321,0.3989844074283751
0.55,0.8,2.0,0.02,0.05,0,0.05221878019952856,0.030267181641282063,2.610939009976428
0.55,0.8,2.0,0.05,0.1,0,0.05221878019952856,0.030267181641282063,1.0443756039905712
0.55,0.8,2.0,0.1,0.15,190,0.05221878019952856,0.030267181641282063,0.5221878019952856
0.65,0.2,0.5,0.02,0.05,0,0.02572825033824355,0.013975087326774572,1.2864125169121774
0.65,0.2,0.5,0.05,0.1,84,0.02572825033824355,0.013975087326774572,0.5145650067648709
0.65,0.2,0.5,0.1,0.15,190,0.02572825033824355,0.013975087326774572,0.25728250338243547
0.65,0.2,2.0,0.02,0.05,0,0.064135838762524,0.07362859634293899,3.2067919381262002
0.65,0.2,2.0,0.05,0.1,0,0.064135838762524,0.07362859634293899,1.28271677525048
0.65,0.2,2.0,0.1,0.15,139,0.064135838762524,0.07362859634293899,0.64135838762524
0.65,0.5,0.5,0.02,0.05,0,0.03508587721445375,0.0164766819774009,1.7542938607226874
0.65,0.5,0.5,0.05,0.1,28,0.03508587721445375,0.0164766819774009,0.701717544289075
0.65,0.5,0.5,0.1,0.15,182,0.03508587721445375,0.0164766819774009,0.3508587721445375
0.65,0.5,2.0,0.02,0.05,0,0.0688416520993821,0.052318683776958606,3.442082604969105
0.65,0.5,2.0,0.05,0.1,0,0.0688416520993821,0.052318683776958606,1.376833041987642
0.65,0.5,2.0,0.1,0.15,152,0.0688416520993821,0.052318683776958606,0.688416520993821
0.65,0.8,0.5,0.02,0.05,0,0.08165753590906674,0.015134802000084305,4.082876795453337
0.65,0.8,0.5,0.05,0.1,0,0.08165753590906674,0.015134802000084305,1.6331507181813347
0.65,0.8,0.5,0.1,0.15,70,0.08165753590906674,0.015134802000084305,0.8165753590906674
0.65,0.8,2.0,0.02,0.05,0,0.09620079319430375,0.05529541503591073,4.810039659715187
0.65,0.8,2.0,0.05,0.1,0,0.09620079319430375,0.05529541503591073,1.924015863886075
0.65,0.8,2.0,0.1,0.15,5,0.09620079319430375,0.05529541503591073,0.9620079319430375
