rho,qH,tau,idx,meanBH,meanBL,vh,vl,uh,ul,cert
0.05,0.2,0.5,7,0.00023640014603870023,0.00019258747742618477,1,0,0.03658316774058025,0.02429259716610854,1
0.05,0.2,2.0,6,0.0005907044231702657,0.0006880940374356606,3,0,0.05733422228820578,0.02429259716610854,1
0.05,0.5,0.5,7,0.0003249122161951933,6.211538184386124e-05,1,0,0.03658316774058025,0.02429259716610854,1
0.05,0.5,2.0,7,0.0003727390462358125,0.00034929091324677214,0,0,0.02429259716610854,0.02429259716610854,1
0.05,0.8,0.5,6,0.00024079420588016755,7.751937984496124e-05,0,0,0.02429259716610854,0.02429259716610854,1
0.05,0.8,2.0,6,0.00040549874566515984,0.00020797619576320113,1,0,0.03658316774058025,0.02429259716610854,1
0.1,0.2,0.5,35,0.011627543195849138,0.010983994634265628,41,0,0.3520217706814359,0.02429259716610854,0
0.1,0.2,2.0,30,0.01983175168848744,0.019726273828644753,61,8,0.4898074362596504,0.10238189602332377,0
0.1,0.5,0.5,15,0.0153302771984686,0.010282625387591594,47,3,0.394061713597051,0.05733422228820578,0
0.1,0.5,2.0,15,0.021454389716719195,0.017909730644889012,67,6,0.5299346538729368,0.08502781471819877,0
0.1,0.8,0.5,15,0.019453974210881766,0.011215012906084731,62,2,0.49653148662366825,0.04733301949633556,0
0.1,0.8,2.0,25,0.024243561727419483,0.02206370651663508,82,17,0.6280257890489989,0.17524863866553708,0
0.15,0.2,0.5,45,0.040768996599205326,0.032018313791323486,120,27,0.8608060007763415,0.25097789500601614,0
0.15,0.2,2.0,36,0.04581156111062892,0.042978595520048374,121,46,0.8665332141534924,0.3871002965818771,0
0.15,0.5,0.5,59,0.042794744700991046,0.033623297327578114,129,34,0.9112017677435141,0.3020774325061646,0
0.15,0.5,2.0,36,0.048188310294891096,0.0469370395487344,129,62,0.9112017677435141,0.49653148662366825,0
0.15,0.8,0.5,36,0.05449585534724857,0.03776394246799432,139,42,0.9628253852180945,0.35907485004874623,0
0.15,0.8,2.0,36,0.05391596576301323,0.04606644481063566,138,59,0.9579797352998276,0.47631514001684755,0
0.2,0.2,0.5,59,0.058837759116392704,0.05043553123825581,126,75,0.8947133221604362,0.5826425897042657,0
0.2,0.2,2.0,60,0.0750591322682472,0.073070238008102,145,114,0.9890898135310887,0.8258954526996672,0
0.2,0.5,0.5,69,0.0672270044267306,0.05179893980974858,147,76,0.9958563747187794,0.5891680069125611,0
0.2,0.5,2.0,67,0.07722198308659155,0.06993337021168287,149,118,0.99983122885689,0.8492697634871661,0
0.2,0.8,0.5,45,0.0848871747957757,0.04876859038376292,147,65,0.9958563747187794,0.5166164677468423,0
0.2,0.8,2.0,68,0.08901982867687665,0.07386721143973972,150,107,1.0,0.7841387291502817,0
0.25,0.2,0.5,84,0.08450972797699914,0.07216148003462523,145,123,0.9890898135310887,0.8779003724223797,0
0.25,0.2,2.0,100,0.10245766157345851,0.10042793596221969,146,138,0.9926874536019917,0.9579797352998276,0
0.25,0.5,0.5,100,0.09940584949987685,0.07407486205817401,150,114,1.0,0.8258954526996672,0
0.25,0.5,2.0,98,0.11122606000985617,0.10283101228243192,149,143,0.99983122885689,0.9810344303654225,0
0.25,0.8,0.5,85,0.11749817991314468,0.08139431392429614,150,117,1.0,0.8434626615593066,0
0.25,0.8,2.0,71,0.11550703758631203,0.09501133731247194,150,133,1.0,0.9325758603520913,0
