scenario_id,rho,qH,tau,method,init_seed,selected_idx,exhaustive_train_idx,vc,vh,vl,uc,uh,ul,cert,mean_cost_ex,max_cost_ex,mean_dbh,mean_dbl
BG01,0.7,0.2,0.5,DR-BGS,0,4,4,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG01,0.7,0.2,0.5,DR-BGS,1,4,4,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG01,0.7,0.2,0.5,DR-BGS,2,4,4,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG01,0.7,0.2,0.5,DR-BGS,3,4,4,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG01,0.7,0.2,0.5,DR-BGS,4,4,4,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG01,0.7,0.2,0.5,Guarded-GP,0,0,4,84,47,50,0.6473321442197926,0.40086180232160096,0.4216802938309285,0,0.09501423456619719,1.642841556787289,-0.006989610945124283,-0.0030967476626954753
BG01,0.7,0.2,0.5,Guarded-GP,1,0,4,84,47,50,0.6473321442197926,0.40086180232160096,0.4216802938309285,0,0.09501423456619719,1.642841556787289,-0.006989610945124283,-0.0030967476626954753
BG01,0.7,0.2,0.5,Guarded-GP,2,0,4,84,47,50,0.6473321442197926,0.40086180232160096,0.4216802938309285,0,0.09501423456619719,1.642841556787289,-0.006989610945124283,-0.0030967476626954753
BG01,0.7,0.2,0.5,Guarded-GP,3,19,4,40,71,65,0.3516106498691744,0.5631726248210427,0.5234619633042299,0,-0.06487465926313363,1.1950506597336905,0.01653904956860194,0.016577652741058404
BG01,0.7,0.2,0.5,Guarded-GP,4,19,4,40,71,65,0.3516106498691744,0.5631726248210427,0.5234619633042299,0,-0.06487465926313363,1.1950506597336905,0.01653904956860194,0.016577652741058404
BG02,0.7,0.2,2.0,DR-BGS,0,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,DR-BGS,1,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,DR-BGS,2,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,DR-BGS,3,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,DR-BGS,4,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,Guarded-GP,0,20,10,49,70,70,0.4147590895705825,0.5565924345503195,0.5565924345503195,0,0.11671216807253625,8.489611559528152,0.01292614284294182,0.012632690683546027
BG02,0.7,0.2,2.0,Guarded-GP,1,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,Guarded-GP,2,20,10,49,70,70,0.4147590895705825,0.5565924345503195,0.5565924345503195,0,0.11671216807253625,8.489611559528152,0.01292614284294182,0.012632690683546027
BG02,0.7,0.2,2.0,Guarded-GP,3,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG02,0.7,0.2,2.0,Guarded-GP,4,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,DR-BGS,0,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,DR-BGS,1,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,DR-BGS,2,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,DR-BGS,3,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,DR-BGS,4,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,Guarded-GP,0,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,Guarded-GP,1,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,Guarded-GP,2,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,Guarded-GP,3,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,Guarded-GP,4,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,DR-BGS,0,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,DR-BGS,1,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,DR-BGS,2,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,DR-BGS,3,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,DR-BGS,4,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,Guarded-GP,0,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,Guarded-GP,1,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,Guarded-GP,2,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,Guarded-GP,3,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,Guarded-GP,4,0,0,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,DR-BGS,0,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,DR-BGS,1,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,DR-BGS,2,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,DR-BGS,3,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,DR-BGS,4,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,Guarded-GP,0,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,Guarded-GP,1,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,Guarded-GP,2,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,Guarded-GP,3,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,Guarded-GP,4,10,10,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,DR-BGS,0,21,21,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,DR-BGS,1,21,21,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,DR-BGS,2,21,21,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,DR-BGS,3,21,21,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,DR-BGS,4,21,21,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,Guarded-GP,0,21,21,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,Guarded-GP,1,66,21,27,6,29,0.25715237029691684,0.08925422292359483,0.2719837914820581,0,0.028163248965355502,1.9580255761046317,0.0008064249913916918,0.0023694493671739866
BG06,0.7,0.8,2.0,Guarded-GP,2,21,21,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,Guarded-GP,3,21,21,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,Guarded-GP,4,21,21,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,DR-BGS,0,14,14,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,DR-BGS,1,14,14,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,DR-BGS,2,14,14,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,DR-BGS,3,14,14,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,DR-BGS,4,14,14,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,Guarded-GP,0,2,14,81,48,47,0.6281395537146574,0.40781968788079176,0.40086180232160096,0,0.10502319832694142,0.9246503404746079,-0.018009900396349355,-0.005378025663746671
BG07,0.9,0.2,0.5,Guarded-GP,1,14,14,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG07,0.9,0.2,0.5,Guarded-GP,2,2,14,81,48,47,0.6281395537146574,0.40781968788079176,0.40086180232160096,0,0.10502319832694142,0.9246503404746079,-0.018009900396349355,-0.005378025663746671
BG07,0.9,0.2,0.5,Guarded-GP,3,2,14,81,48,47,0.6281395537146574,0.40781968788079176,0.40086180232160096,0,0.10502319832694142,0.9246503404746079,-0.018009900396349355,-0.005378025663746671
BG07,0.9,0.2,0.5,Guarded-GP,4,2,14,81,48,47,0.6281395537146574,0.40781968788079176,0.40086180232160096,0,0.10502319832694142,0.9246503404746079,-0.018009900396349355,-0.005378025663746671
BG08,0.9,0.2,2.0,DR-BGS,0,1,23,83,40,45,0.6409500400579764,0.3516106498691744,0.3868893373287658,0,0.3405275457342569,5.964084752599334,-0.026140097539130863,-0.023399622014158416
BG08,0.9,0.2,2.0,DR-BGS,1,1,23,83,40,45,0.6409500400579764,0.3516106498691744,0.3868893373287658,0,0.3405275457342569,5.964084752599334,-0.026140097539130863,-0.023399622014158416
BG08,0.9,0.2,2.0,DR-BGS,2,1,23,83,40,45,0.6409500400579764,0.3516106498691744,0.3868893373287658,0,0.3405275457342569,5.964084752599334,-0.026140097539130863,-0.023399622014158416
BG08,0.9,0.2,2.0,DR-BGS,3,1,23,83,40,45,0.6409500400579764,0.3516106498691744,0.3868893373287658,0,0.3405275457342569,5.964084752599334,-0.026140097539130863,-0.023399622014158416
BG08,0.9,0.2,2.0,DR-BGS,4,1,23,83,40,45,0.6409500400579764,0.3516106498691744,0.3868893373287658,0,0.3405275457342569,5.964084752599334,-0.026140097539130863,-0.023399622014158416
