scenario_id,rho,qH,tau,method,certified_fraction,certified_runs,runs,max_upper,mean_cost_excess
BG01,0.7,0.2,0.5,DR-BGS,1.0,5,5,0.026926471132857364,0.0
BG01,0.7,0.2,0.5,Guarded-GP,0.0,0,5,0.6727044573500587,0.07790974819026528
BG02,0.7,0.2,2.0,DR-BGS,1.0,5,5,0.026926471132857364,0.0
BG02,0.7,0.2,2.0,Guarded-GP,0.6,3,5,0.5167895614939798,0.047198176931222593
BG03,0.7,0.5,0.5,DR-BGS,1.0,5,5,0.026926471132857364,0.0
BG03,0.7,0.5,0.5,Guarded-GP,1.0,5,5,0.026926471132857364,0.0
BG04,0.7,0.5,2.0,DR-BGS,1.0,5,5,0.026926471132857364,0.0
BG04,0.7,0.5,2.0,Guarded-GP,1.0,5,5,0.026926471132857364,0.0
BG05,0.7,0.8,0.5,DR-BGS,1.0,5,5,0.026926471132857364,0.0
BG05,0.7,0.8,0.5,Guarded-GP,1.0,5,5,0.026926471132857364,0.0
BG06,0.7,0.8,2.0,DR-BGS,1.0,5,5,0.026926471132857364,0.0
BG06,0.7,0.8,2.0,Guarded-GP,0.8,4,5,0.27935396399107515,-0.002123314481608367
BG07,0.9,0.2,0.5,DR-BGS,1.0,5,5,0.026926471132857364,0.0
BG07,0.9,0.2,0.5,Guarded-GP,0.2,1,5,0.653698726085423,0.12339763356777056
BG08,0.9,0.2,2.0,DR-BGS,0.0,0,5,0.6409500400579764,0.2765233168213752
BG08,0.9,0.2,2.0,Guarded-GP,0.0,0,5,0.6409500400579764,0.2818479139266108
BG09,0.9,0.5,0.5,DR-BGS,1.0,5,5,0.026926471132857364,0.0
BG09,0.9,0.5,0.5,Guarded-GP,1.0,5,5,0.026926471132857364,0.0
BG10,0.9,0.5,2.0,DR-BGS,1.0,5,5,0.026926471132857364,0.0
BG10,0.9,0.5,2.0,Guarded-GP,1.0,5,5,0.026926471132857364,0.0
BG11,0.9,0.8,0.5,DR-BGS,1.0,5,5,0.026926471132857364,0.0
BG11,0.9,0.8,0.5,Guarded-GP,0.0,0,5,0.18076388639907262,-0.011568312504568915
BG12,0.9,0.8,2.0,DR-BGS,0.0,0,5,0.6152677579234329,0.27083306854456607
BG12,0.9,0.8,2.0,Guarded-GP,0.0,0,5,0.6152677579234329,0.22237175706590556
