scenario_id,rho,qH,tau,method,init_seed,selected_idx,reference_idx,same_policy_as_reference,replications,viol_cost,viol_B_H,viol_B_L,upper_cost,upper_B_H,upper_B_L,max_upper,certified,mean_cost_excess,median_cost_excess,p90_cost_excess,max_cost_excess,mean_delta_B_H,mean_delta_B_L
BG01,0.7,0.2,0.5,DR-BGS,0,4,4,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG01,0.7,0.2,0.5,DR-BGS,1,4,4,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG01,0.7,0.2,0.5,DR-BGS,2,4,4,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG01,0.7,0.2,0.5,DR-BGS,3,4,4,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG01,0.7,0.2,0.5,DR-BGS,4,4,4,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG01,0.7,0.2,0.5,Guarded-GP,0,0,4,0,150,88,52,43,0.6727044573500587,0.4354691672611941,0.37283899866090603,0.6727044573500587,0,0.16005380371386793,0.11527473081106097,0.5536878563002465,1.6467710308204853,-0.0049903909095275175,-0.009449339338818207
BG01,0.7,0.2,0.5,Guarded-GP,1,0,4,0,150,88,52,43,0.6727044573500587,0.4354691672611941,0.37283899866090603,0.6727044573500587,0,0.16005380371386793,0.11527473081106097,0.5536878563002465,1.6467710308204853,-0.0049903909095275175,-0.009449339338818207
BG01,0.7,0.2,0.5,Guarded-GP,2,0,4,0,150,88,52,43,0.6727044573500587,0.4354691672611941,0.37283899866090603,0.6727044573500587,0,0.16005380371386793,0.11527473081106097,0.5536878563002465,1.6467710308204853,-0.0049903909095275175,-0.009449339338818207
BG01,0.7,0.2,0.5,Guarded-GP,3,19,4,0,150,48,69,66,0.40781968788079176,0.5499970056421564,0.530118838046745,0.5499970056421564,0,-0.04530633509513869,-0.08726973192072315,0.3527497356179155,1.036730991636102,0.016579838090929232,0.010043369057220282
BG01,0.7,0.2,0.5,Guarded-GP,4,19,4,0,150,48,69,66,0.40781968788079176,0.5499970056421564,0.530118838046745,0.5499970056421564,0,-0.04530633509513869,-0.08726973192072315,0.3527497356179155,1.036730991636102,0.016579838090929232,0.010043369057220282
