scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,n,viol_H,viol_L,upper_H,upper_L,certified
BG01,0.7,0.2,0.5,0,2.0,2.0,0.11383441446794648,0.09806272282978164,0.22024487142719057,0.5101590276877924,0.543195758401871,150,147,123,0.9958563747187794,0.8779003724223797,0
BG01,0.7,0.2,0.5,1,4.0,2.0,0.1217969750975115,0.10415312330065767,0.22391533422226084,0.4792942206333381,0.5128815207666771,150,146,131,0.9926874536019917,0.9219854745695966,0
BG01,0.7,0.2,0.5,2,4.0,4.0,0.13012159619441452,0.11109316140539922,0.23165810525315275,0.4607616784179252,0.4955103942058982,150,148,126,0.9983811729701603,0.8947133221604362,0
BG01,0.7,0.2,0.5,3,6.0,2.0,0.12145496234747015,0.10228259029232056,0.2240192945629755,0.481004835216037,0.5146077294004834,150,148,133,0.9983811729701603,0.9325758603520913,0
BG01,0.7,0.2,0.5,4,6.0,4.0,0.13124532946743683,0.11117586016888206,0.23192216441758867,0.4586722745526868,0.49346059921532526,150,148,125,0.9983811729701603,0.8891426679824252,0
BG01,0.7,0.2,0.5,5,6.0,6.0,0.13041916288120683,0.11275075612462253,0.23420793282986968,0.4509653979741154,0.48609658789859583,150,145,136,0.9890898135310887,0.9480298277055218,0
BG01,0.7,0.2,0.5,6,8.0,2.0,0.12307821844539878,0.1032716308546589,0.22807180219397882,0.4773092980849594,0.5115200684140564,150,147,132,0.9958563747187794,0.9273065333032355,0
BG01,0.7,0.2,0.5,7,8.0,4.0,0.1335596514052358,0.11378724859006306,0.23484703263101717,0.4548484275190591,0.4900754824137116,150,149,131,0.99983122885689,0.9219854745695966,0
BG01,0.7,0.2,0.5,8,8.0,6.0,0.13078466890456217,0.11376371418750636,0.2349595124520611,0.4454232987981812,0.48066722566599046,150,145,135,0.9890898135310887,0.9429425651637531,0
BG01,0.7,0.2,0.5,9,8.0,8.0,0.1351547916960489,0.11693399446881045,0.23399455059972857,0.43539183672807724,0.47049101931803666,150,149,137,0.99983122885689,0.9530447797605528,0
BG01,0.7,0.2,0.5,10,10.0,2.0,0.12626533431885306,0.10722758910489504,0.22934750051271238,0.4689514569849566,0.5033535820618636,150,147,135,0.9958563747187794,0.9429425651637531,0
BG01,0.7,0.2,0.5,11,10.0,4.0,0.13283836528641074,0.11185491873018459,0.23464893685608534,0.45514479824822984,0.49034213877664273,150,146,130,0.9926874536019917,0.9166161933604736,0
BG01,0.7,0.2,0.5,12,10.0,6.0,0.1308949128721229,0.11286833256495087,0.23484325102494688,0.4447982624955669,0.48002475014930895,150,145,136,0.9890898135310887,0.9480298277055218,0
BG01,0.7,0.2,0.5,13,10.0,8.0,0.1390283183232339,0.12090476686883524,0.23572091377446316,0.42576857653336203,0.4611267135995314,150,149,138,0.99983122885689,0.9579797352998276,0
BG01,0.7,0.2,0.5,14,10.0,10.0,0.13934580892443657,0.12119866947377905,0.23922246325750385,0.4232402216566748,0.45912359114530044,150,146,139,0.9926874536019917,0.9628253852180945,0
BG01,0.7,0.2,0.5,15,12.0,2.0,0.12811834868168842,0.10769574681446435,0.23003518672619086,0.4623709493578583,0.4968762273667869,150,147,133,0.9958563747187794,0.9325758603520913,0
BG01,0.7,0.2,0.5,16,12.0,4.0,0.13284220476223768,0.11270926858506267,0.23408673413234263,0.45224659277131213,0.4873596028911635,150,145,132,0.9890898135310887,0.9273065333032355,0
BG01,0.7,0.2,0.5,17,12.0,6.0,0.1352094324846109,0.11633831715998497,0.2360499349871416,0.43495800854974875,0.47036549879782,150,147,137,0.9958563747187794,0.9530447797605528,0
BG01,0.7,0.2,0.5,18,12.0,8.0,0.13935010212840068,0.11917963518425763,0.23556118529471892,0.426358153706003,0.4616923315002108,150,149,139,0.99983122885689,0.9628253852180945,0
BG01,0.7,0.2,0.5,19,12.0,10.0,0.14058928056113748,0.12083229528214436,0.2380416550164729,0.42248352901590297,0.45818977726837395,150,145,140,0.9890898135310887,0.9675702718413236,0
BG01,0.7,0.2,0.5,20,12.0,12.0,0.13891765984782362,0.12031591616470384,0.23914298157995925,0.4201981690534399,0.45606961629043374,150,147,137,0.9958563747187794,0.9530447797605528,0
BG01,0.7,0.2,0.5,21,14.0,2.0,0.1311967251890299,0.10964064580104008,0.2323090987687139,0.45496645244033346,0.4898128172556405,150,147,137,0.9958563747187794,0.9530447797605528,0
