scenario_id,rho,qH,tau,frontier_status,BH_limit,BL_limit,certifiable_policies,protected_multiplier,eligible_multiplier,balanced_multiplier
BG01,0.7,0.2,0.5,found_within_grid,0.25,0.2,12,12.5,4.0,12.5
BG02,0.7,0.2,2.0,found_within_grid,0.3,0.3,1,15.0,5.999999999999999,15.0
BG03,0.7,0.5,0.5,found_within_grid,0.25,0.2,3,12.5,4.0,12.5
BG04,0.7,0.5,2.0,found_within_grid,0.3,0.3,18,15.0,5.999999999999999,15.0
BG05,0.7,0.8,0.5,found_within_grid,0.35,0.2,12,17.5,4.0,17.5
BG06,0.7,0.8,2.0,found_within_grid,0.35,0.3,74,17.5,5.999999999999999,17.5
BG07,0.9,0.2,0.5,found_within_grid,0.25,0.2,2,12.5,4.0,12.5
BG08,0.9,0.2,2.0,found_within_grid,0.35,0.35,1,17.5,6.999999999999999,17.5
BG09,0.9,0.5,0.5,found_within_grid,0.3,0.2,20,15.0,4.0,15.0
BG10,0.9,0.5,2.0,found_within_grid,0.35,0.3,1,17.5,5.999999999999999,17.5
BG11,0.9,0.8,0.5,found_within_grid,0.35,0.2,27,17.5,4.0,17.5
BG12,0.9,0.8,2.0,none_through_0.35_0.35,,,0,,,
