scenario_id,rho,qH,tau,BH_limit,BL_limit,certifiable_policies
BG01,0.7,0.2,0.5,0.02,0.05,0
BG01,0.7,0.2,0.5,0.02,0.075,0
BG01,0.7,0.2,0.5,0.02,0.1,0
BG01,0.7,0.2,0.5,0.02,0.125,0
BG01,0.7,0.2,0.5,0.02,0.15,0
BG01,0.7,0.2,0.5,0.02,0.2,0
BG01,0.7,0.2,0.5,0.02,0.25,0
BG01,0.7,0.2,0.5,0.02,0.3,0
BG01,0.7,0.2,0.5,0.02,0.35,0
BG01,0.7,0.2,0.5,0.03,0.05,0
BG01,0.7,0.2,0.5,0.03,0.075,0
BG01,0.7,0.2,0.5,0.03,0.1,0
BG01,0.7,0.2,0.5,0.03,0.125,0
BG01,0.7,0.2,0.5,0.03,0.15,0
BG01,0.7,0.2,0.5,0.03,0.2,0
BG01,0.7,0.2,0.5,0.03,0.25,0
BG01,0.7,0.2,0.5,0.03,0.3,0
BG01,0.7,0.2,0.5,0.03,0.35,0
BG01,0.7,0.2,0.5,0.05,0.05,0
BG01,0.7,0.2,0.5,0.05,0.075,0
BG01,0.7,0.2,0.5,0.05,0.1,0
BG01,0.7,0.2,0.5,0.05,0.125,0
BG01,0.7,0.2,0.5,0.05,0.15,0
BG01,0.7,0.2,0.5,0.05,0.2,0
BG01,0.7,0.2,0.5,0.05,0.25,0
BG01,0.7,0.2,0.5,0.05,0.3,0
BG01,0.7,0.2,0.5,0.05,0.35,0
BG01,0.7,0.2,0.5,0.075,0.05,0
BG01,0.7,0.2,0.5,0.075,0.075,0
BG01,0.7,0.2,0.5,0.075,0.1,0
BG01,0.7,0.2,0.5,0.075,0.125,0
BG01,0.7,0.2,0.5,0.075,0.15,0
BG01,0.7,0.2,0.5,0.075,0.2,0
BG01,0.7,0.2,0.5,0.075,0.25,0
BG01,0.7,0.2,0.5,0.075,0.3,0
BG01,0.7,0.2,0.5,0.075,0.35,0
BG01,0.7,0.2,0.5,0.1,0.05,0
BG01,0.7,0.2,0.5,0.1,0.075,0
BG01,0.7,0.2,0.5,0.1,0.1,0
BG01,0.7,0.2,0.5,0.1,0.125,0
BG01,0.7,0.2,0.5,0.1,0.15,0
