scenario_id,rho,qH,tau,certifiable_policies,min_mean_B_H,min_mean_B_L,min_upper_H,min_upper_L,policy_idx,alpha_on,alpha_off,max_mean_ratio,mean_B_H,mean_B_L
BG01,0.7,0.2,0.5,0,0.11383441446794648,0.09806272282978164,0.9890898135310887,0.8779003724223797,0,2.0,2.0,5.691720723397324,0.11383441446794648,0.09806272282978164
BG02,0.7,0.2,2.0,0,0.1771539127622608,0.1698331037641964,0.9983811729701603,0.985181478885102,0,2.0,2.0,8.85769563811304,0.1771539127622608,0.17310991354490107
BG03,0.7,0.5,0.5,0,0.15684957198247967,0.07922540257361653,0.99983122885689,0.7659479938008387,0,2.0,2.0,7.842478599123983,0.15684957198247967,0.07922540257361653
BG04,0.7,0.5,2.0,0,0.200264561542887,0.1510946371760867,1.0,0.9530447797605528,0,2.0,2.0,10.01322807714435,0.200264561542887,0.1510946371760867
BG05,0.7,0.8,0.5,0,0.22450563769728035,0.08123070757789085,1.0,0.7537304842875724,0,2.0,2.0,11.225281884864017,0.22450563769728035,0.08123070757789085
BG06,0.7,0.8,2.0,0,0.23468705753877628,0.14463256060513732,1.0,0.8947133221604362,0,2.0,2.0,11.734352876938814,0.23468705753877628,0.14463256060513732
BG07,0.9,0.2,0.5,0,0.11119837511427444,0.09544126690712448,0.985181478885102,0.8608060007763415,0,2.0,2.0,5.5599187557137215,0.11119837511427444,0.09544126690712448
BG08,0.9,0.2,2.0,0,0.20773869806467415,0.19793171656235184,0.99983122885689,0.9958563747187794,2,4.0,4.0,10.386934903233708,0.20773869806467415,0.19793171656235184
BG09,0.9,0.5,0.5,0,0.17834255498491497,0.08047450835820266,1.0,0.7041875847736137,0,2.0,2.0,8.917127749245749,0.17834255498491497,0.08292305493921939
BG10,0.9,0.5,2.0,0,0.22952162685552444,0.16856942154046153,1.0,0.9325758603520913,0,2.0,2.0,11.476081342776222,0.22952162685552444,0.16856942154046153
BG11,0.9,0.8,0.5,0,0.2646726536769083,0.059941611780015315,1.0,0.5695497845258534,0,2.0,2.0,13.233632683845414,0.2646726536769083,0.059941611780015315
BG12,0.9,0.8,2.0,0,0.2828211777595277,0.14462232958152452,1.0,0.8550511836699326,0,2.0,2.0,14.141058887976385,0.2828211777595277,0.14462232958152452
