original_scenario_id,base_rho,qH,tau,rho,relative_load_reduction_pct,exact_certifiable_policies,best_policy_upper,best_policy_mean_B_H,best_policy_mean_B_L
BG01,0.7,0.2,0.5,0.075,89.28571428571428,2,0.0937858649877965,0.0031898768784364,0.0028412940683464
BG02,0.7,0.2,2.0,0.05,92.85714285714286,190,0.0242925971661085,0.00043011234196,0.0005026512104738
BG03,0.7,0.5,0.5,0.075,89.28571428571428,119,0.0573342222882057,0.0027622831865645,0.0022421890616718
BG04,0.7,0.5,2.0,0.05,92.85714285714286,190,0.0242925971661085,0.0005074245331677,0.0002310540892407
BG05,0.7,0.8,0.5,0.05,92.85714285714286,190,0.0242925971661085,0.0003315554876935,0.0004928578321803
BG06,0.7,0.8,2.0,0.05,92.85714285714286,190,0.0242925971661085,0.0004238532628224,0.0004242780792488
BG07,0.9,0.2,0.5,0.075,91.66666666666666,8,0.0668678766774893,0.0023140276856388,0.001900473170255
BG08,0.9,0.2,2.0,0.05,94.44444444444444,190,0.0242925971661085,0.0003143189842987,0.0006485848265684
BG09,0.9,0.5,0.5,0.075,91.66666666666666,67,0.0573342222882057,0.0030976350001932,0.0026402412520434
BG10,0.9,0.5,2.0,0.05,94.44444444444444,190,0.0242925971661085,0.0003980681248361,0.0004232379385792
BG11,0.9,0.8,0.5,0.05,94.44444444444444,190,0.0242925971661085,0.0004520349826154,8.771929824561403e-05
BG12,0.9,0.8,2.0,0.075,91.66666666666666,6,0.0850278147181987,0.0055684994442031,0.0051835167924784
