original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,
BG01,0.7,0.5,40.0,0.05,0.2,0.5,load_path,0.9285714285714285,190,0.0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,
BG01,0.7,0.5,40.0,0.1,0.2,0.5,joint_safer;load_path,0.8571428571428572,109,0.2358490566037735
BG01,0.7,0.5,40.0,0.125,0.2,0.5,load_path,0.8214285714285714,-1,
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645
BG01,0.7,0.5,40.0,0.3,0.2,0.5,load_path,0.5714285714285714,0,2.3669247685050547
BG01,0.7,0.5,40.0,0.35,0.2,0.5,load_path,0.5,0,2.585907663719881
BG01,0.7,0.5,40.0,0.4,0.2,0.5,load_path,0.4285714285714285,0,3.475608724130048
BG01,0.7,0.5,40.0,0.45,0.2,0.5,load_path,0.3571428571428571,0,4.33836459452471
BG01,0.7,0.5,40.0,0.5,0.2,0.5,load_path,0.28571428571428564,0,3.1941606300724046
BG01,0.7,0.5,40.0,0.55,0.2,0.5,load_path,0.21428571428571416,0,6.940530310905109
BG01,0.7,0.5,40.0,0.6,0.2,0.5,load_path,0.14285714285714282,0,4.629566470003562
BG01,0.7,0.5,40.0,0.65,0.2,0.5,load_path,0.07142857142857134,0,4.39383100649975
BG01,0.7,0.5,40.0,0.7,0.2,0.5,baseline;capacity_path;delay_path;load_path,0.0,0,4.375616938190575
BG01,0.7,0.5,60.0,0.7,0.2,0.5,capacity_path,0.5,0,2.594429560055054
