original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio,exact_certifiable_policies,best_policy_idx,best_policy_upper,best_policy_mean_B_H,best_policy_mean_B_L,method_certified_runs,method_runs
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,2,1,0.0937858649877965,0.0031898768784364025,0.002841294068346457,0,11
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,190,10,0.02429259716610854,0.0,0.0,11,11
BG01,0.7,0.5,40.0,0.05,0.2,0.5,load_path,0.9285714285714285,190,0.0,190,21,0.02429259716610854,0.00013408799946095274,0.00010508149165805438,11,11
BG01,0.7,0.5,40.0,0.1,0.2,0.5,joint_safer;load_path,0.8571428571428572,109,0.2358490566037735,0,21,0.3092774317482905,0.011649692987754055,0.009723328030146094,0,11
BG01,0.7,0.5,40.0,0.125,0.2,0.5,load_path,0.8214285714285714,-1,,0,1,0.40100578566330813,0.015738127710620102,0.014508106759438987,0,11
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,0,2,0.9480298277055218,0.05976990304729388,0.046572864109693274,0,11
BG01,0.7,0.5,40.0,0.15,0.2,0.5,joint_boundary;load_path,0.7857142857142857,15,0.6088144843228351,0,0,0.562982388813715,0.022756725052153988,0.017582272010802463,0,11
BG01,0.7,0.5,40.0,0.2,0.2,0.5,joint_harder;load_path,0.7142857142857143,0,1.794621907025958,0,1,0.8140695630923855,0.04320878943093368,0.03501662808728675,0,11
BG01,0.7,0.5,40.0,0.3,0.2,0.5,load_path,0.5714285714285714,0,2.3669247685050547,0,6,0.9530447797605528,0.07358023435082345,0.06561160263847637,0,11
BG01,0.7,0.5,40.0,0.4,0.2,0.5,load_path,0.4285714285714285,0,3.475608724130048,0,4,0.9810344303654225,0.10063649318158598,0.07913883813313226,0,11
BG01,0.7,0.5,40.0,0.35,0.2,0.5,load_path,0.5,0,2.585907663719881,0,15,0.97669618980353,0.0968540766527349,0.07885250973290057,0,11
BG01,0.7,0.5,40.0,0.45,0.2,0.5,load_path,0.3571428571428571,0,4.33836459452471,0,39,0.97669618980353,0.11055182138315914,0.09788029935758971,0,11
BG01,0.7,0.5,40.0,0.5,0.2,0.5,load_path,0.28571428571428564,0,3.1941606300724046,0,3,0.9890898135310887,0.1064910323270192,0.08971358841925958,0,11
BG01,0.7,0.5,40.0,0.55,0.2,0.5,load_path,0.21428571428571416,0,6.940530310905109,0,0,0.985181478885102,0.10699280862578756,0.08543876586856299,0,11
BG01,0.7,0.5,40.0,0.6,0.2,0.5,load_path,0.14285714285714282,0,4.629566470003562,0,22,0.9890898135310887,0.1315672395404416,0.11387466606361679,0,11
BG01,0.7,0.5,40.0,0.65,0.2,0.5,load_path,0.07142857142857134,0,4.39383100649975,0,6,0.97669618980353,0.11440883392501291,0.10065808341871009,0,11
BG01,0.7,0.5,40.0,0.7,0.2,0.5,baseline;capacity_path;delay_path;load_path,0.0,0,4.375616938190575,0,8,0.9890898135310887,0.13272182702533628,0.11184955242022605,0,11
BG01,0.7,0.5,60.0,0.7,0.2,0.5,capacity_path,0.5,0,2.594429560055054,0,0,0.9057449151374255,0.08058821504865536,0.06620270729376507,0,11
BG01,0.7,0.5,80.0,0.7,0.2,0.5,capacity_path;joint_boundary,1.0,4,0.6706704481355517,0,3,0.8081241822330423,0.05516666308869027,0.041584349777844073,0,11
BG01,0.7,0.5,100.0,0.7,0.2,0.5,capacity_path;joint_boundary,1.5,5,0.7881647282568941,0,3,0.5891680069125611,0.031937832417226766,0.024557050872958553,0,11
BG01,0.7,0.5,200.0,0.7,0.2,0.5,capacity_path;joint_boundary,4.0,107,0.0,1,2,0.08502781471819877,0.0032635542108710837,0.0027594123729218906,0,11
BG01,0.7,0.5,160.0,0.7,0.2,0.5,capacity_path;joint_boundary,3.0,73,0.165016501650165,0,6,0.25097789500601614,0.012424217562969669,0.009889635952447774,0,11
BG01,0.7,0.5,120.0,0.7,0.2,0.5,capacity_path;joint_boundary,2.0,84,0.1872659176029962,0,0,0.38012123362421896,0.017674391831913418,0.014058019392336743,0,11
BG01,0.7,0.5,240.0,0.7,0.2,0.5,capacity_path;joint_boundary,5.0,123,0.0,8,2,0.06686787667748939,0.0012313200722890104,0.0010970878913122992,0,11
BG01,0.7,0.5,40.0,0.7,0.2,1.0,delay_path,0.0,0,5.276323332265427,0,105,0.9983811729701603,0.16496915949223978,0.159370223657892,0,11
BG01,0.7,0.5,40.0,0.7,0.2,0.25,delay_path,0.5,0,3.987544777813772,0,0,0.9810344303654225,0.08683846631872083,0.05860702070166369,0,11
BG01,0.7,0.5,40.0,0.7,0.2,0.1,delay_path,0.8,0,2.664460180413726,0,0,0.9325758603520913,0.06690563688266693,0.03673240197558266,0,11
BG01,0.7,0.5,40.0,0.7,0.2,2.0,delay_path,0.0,0,8.453582237200381,0,136,0.9983811729701603,0.1944048519291195,0.18852583476699214,0,11
BG01,0.7,0.5,60.0,0.25,0.2,0.5,joint_boundary,1.1428571428571428,21,0.2803470881745091,0,5,0.5891680069125611,0.02699336684514018,0.02224377072092008,0,11
BG01,0.7,0.5,60.0,0.3,0.2,0.5,joint_harder,1.0714285714285714,0,1.3981058940852686,0,2,0.7841387291502817,0.04011773278652151,0.032514565769870364,0,11
BG01,0.7,0.5,80.0,0.65,0.2,0.5,joint_safer,1.0714285714285714,0,1.7540218349907248,0,0,0.7659479938008387,0.04462272852592638,0.03838399755696012,0,11
BG01,0.7,0.5,60.0,0.2,0.2,0.5,joint_safer,1.2142857142857144,43,0.3787878787878788,0,2,0.45596435920558026,0.018947599379911056,0.01712181154778767,0,11
BG01,0.7,0.5,120.0,0.65,0.2,0.5,joint_safer,2.071428571428571,82,0.0915750915750915,0,2,0.41484300626555887,0.018987855066364863,0.015387608791527245,0,11
BG01,0.7,0.5,100.0,0.65,0.2,0.5,joint_safer,1.5714285714285714,11,0.4147851669403394,0,1,0.6344526531092491,0.030676808232917855,0.02416833924078236,0,11
BG01,0.7,0.5,160.0,0.65,0.2,0.5,joint_safer,3.071428571428571,64,0.3916836043360433,0,1,0.19072061375638855,0.007615599660992262,0.006450604361753853,0,11
BG01,0.7,0.5,200.0,0.65,0.2,0.5,joint_safer,4.071428571428571,149,0.0,5,16,0.08502781471819877,0.002228373883395039,0.0024236584313269195,0,11
BG02,0.7,2.0,40.0,0.025,0.2,2.0,load_path,0.9642857142857143,-1,,190,10,0.02429259716610854,0.0,0.0,11,11
BG02,0.7,2.0,40.0,0.05,0.2,2.0,load_path,0.9285714285714285,190,0.0,190,7,0.02429259716610854,0.0004301123419600676,0.000502651210473819,11,11
BG02,0.7,2.0,40.0,0.075,0.2,2.0,load_path,0.8928571428571429,-1,,0,0,0.15956788512757702,0.005392700487552111,0.0054579735726815485,0,11
BG01,0.7,0.5,240.0,0.65,0.2,0.5,joint_safer,5.071428571428571,150,0.0,52,4,0.03658316774058025,0.00031448436620850413,0.001046043273587516,11,11
