original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio,method,init_seed,selected_idx,selected_alpha_on,selected_alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,viol_H,viol_L,upper_H,upper_L,certified
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,Exhaustive-training,-1,5,6.0,6.0,0.003859677246671899,0.003057104041589788,0.06610614186800158,0.12521776167908608,0.1351336829592863,9,0,0.1108415200136255,0.02429259716610854,0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,DR-BGS,0,16,12.0,4.0,0.004624855538642566,0.0033909117319746848,0.07016381799421896,0.08202611951018927,0.09255069220932212,15,0,0.15956788512757702,0.02429259716610854,0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,DR-BGS,1,16,12.0,4.0,0.004624855538642566,0.0033909117319746848,0.07016381799421896,0.08202611951018927,0.09255069220932212,15,0,0.15956788512757702,0.02429259716610854,0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,DR-BGS,2,16,12.0,4.0,0.004624855538642566,0.0033909117319746848,0.07016381799421896,0.08202611951018927,0.09255069220932212,15,0,0.15956788512757702,0.02429259716610854,0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,DR-BGS,3,16,12.0,4.0,0.004624855538642566,0.0033909117319746848,0.07016381799421896,0.08202611951018927,0.09255069220932212,15,0,0.15956788512757702,0.02429259716610854,0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,DR-BGS,4,16,12.0,4.0,0.004624855538642566,0.0033909117319746848,0.07016381799421896,0.08202611951018927,0.09255069220932212,15,0,0.15956788512757702,0.02429259716610854,0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,Guarded-GP,0,20,12.0,12.0,0.004525465016399716,0.0035521370937710854,0.07023554368723829,0.07458008255782689,0.08511541411091264,14,0,0.15163853130364813,0.02429259716610854,0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,Guarded-GP,1,20,12.0,12.0,0.004525465016399716,0.0035521370937710854,0.07023554368723829,0.07458008255782689,0.08511541411091264,14,0,0.15163853130364813,0.02429259716610854,0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,Guarded-GP,2,27,14.0,14.0,0.0047386157021528045,0.004148582848624228,0.07263719891488715,0.06231752189206363,0.07321310172929671,18,0,0.1830088770247613,0.02429259716610854,0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,Guarded-GP,3,19,12.0,10.0,0.004886479663128649,0.0035809677023162347,0.07038607036209894,0.07677339868179438,0.08733130923610924,16,0,0.16743633904074617,0.02429259716610854,0
BG01,0.7,0.5,40.0,0.075,0.2,0.5,load_path,0.8928571428571429,-1,,Guarded-GP,4,19,12.0,10.0,0.004886479663128649,0.0035809677023162347,0.07038607036209894,0.07677339868179438,0.08733130923610924,16,0,0.16743633904074617,0.02429259716610854,0
