regime,method,evidence_n,runs,certified_runs,decision_reversal_rows,certified_fraction
baseline,DR-BGS,50,60,0,0,0.0
baseline,DR-BGS,100,60,0,0,0.0
baseline,DR-BGS,150,60,0,0,0.0
baseline,DR-BGS,300,60,0,0,0.0
baseline,DR-BGS,600,60,0,0,0.0
baseline,DR-BGS,1200,60,0,0,0.0
baseline,Exhaustive-training,50,12,0,0,0.0
baseline,Exhaustive-training,100,12,0,0,0.0
baseline,Exhaustive-training,150,12,0,0,0.0
baseline,Exhaustive-training,300,12,0,0,0.0
baseline,Exhaustive-training,600,12,0,0,0.0
baseline,Exhaustive-training,1200,12,0,0,0.0
baseline,Guarded-GP,50,60,0,0,0.0
baseline,Guarded-GP,100,60,0,0,0.0
baseline,Guarded-GP,150,60,0,0,0.0
baseline,Guarded-GP,300,60,0,0,0.0
baseline,Guarded-GP,600,60,0,0,0.0
baseline,Guarded-GP,1200,60,0,0,0.0
baseline,Risk-screen-oracle,50,12,0,0,0.0
baseline,Risk-screen-oracle,100,12,0,0,0.0
baseline,Risk-screen-oracle,150,12,0,0,0.0
baseline,Risk-screen-oracle,300,12,0,0,0.0
baseline,Risk-screen-oracle,600,12,0,0,0.0
baseline,Risk-screen-oracle,1200,12,0,0,0.0
boundary_candidate,DR-BGS,50,60,30,0,0.5
boundary_candidate,DR-BGS,100,60,40,0,0.6666666666666666
boundary_candidate,DR-BGS,150,60,40,0,0.6666666666666666
boundary_candidate,DR-BGS,300,60,50,0,0.8333333333333334
boundary_candidate,DR-BGS,600,60,50,0,0.8333333333333334
boundary_candidate,DR-BGS,1200,60,55,0,0.9166666666666666
boundary_candidate,Exhaustive-training,50,12,6,0,0.5
boundary_candidate,Exhaustive-training,100,12,9,0,0.75
boundary_candidate,Exhaustive-training,150,12,9,0,0.75
boundary_candidate,Exhaustive-training,300,12,11,0,0.9166666666666666
boundary_candidate,Exhaustive-training,600,12,11,0,0.9166666666666666
boundary_candidate,Exhaustive-training,1200,12,11,0,0.9166666666666666
boundary_candidate,Guarded-GP,50,60,32,0,0.5333333333333333
boundary_candidate,Guarded-GP,100,60,41,0,0.6833333333333333
boundary_candidate,Guarded-GP,150,60,43,0,0.7166666666666667
boundary_candidate,Guarded-GP,300,60,44,0,0.7333333333333333
boundary_candidate,Guarded-GP,600,60,52,0,0.8666666666666667
boundary_candidate,Guarded-GP,1200,60,54,0,0.9
boundary_candidate,Risk-screen-oracle,50,12,6,0,0.5
boundary_candidate,Risk-screen-oracle,100,12,8,0,0.6666666666666666
boundary_candidate,Risk-screen-oracle,150,12,7,0,0.5833333333333334
boundary_candidate,Risk-screen-oracle,300,12,9,0,0.75
boundary_candidate,Risk-screen-oracle,600,12,10,0,0.8333333333333334
boundary_candidate,Risk-screen-oracle,1200,12,11,0,0.9166666666666666
interior_safer,DR-BGS,50,60,60,0,1.0
interior_safer,DR-BGS,100,60,60,0,1.0
interior_safer,DR-BGS,150,60,60,0,1.0
interior_safer,DR-BGS,300,60,60,0,1.0
interior_safer,DR-BGS,600,60,60,0,1.0
interior_safer,DR-BGS,1200,60,60,0,1.0
interior_safer,Exhaustive-training,50,12,12,0,1.0
interior_safer,Exhaustive-training,100,12,12,0,1.0
interior_safer,Exhaustive-training,150,12,12,0,1.0
interior_safer,Exhaustive-training,300,12,12,0,1.0
interior_safer,Exhaustive-training,600,12,12,0,1.0
interior_safer,Exhaustive-training,1200,12,12,0,1.0
interior_safer,Guarded-GP,50,60,55,0,0.9166666666666666
interior_safer,Guarded-GP,100,60,60,0,1.0
interior_safer,Guarded-GP,150,60,60,0,1.0
interior_safer,Guarded-GP,300,60,60,0,1.0
interior_safer,Guarded-GP,600,60,60,0,1.0
interior_safer,Guarded-GP,1200,60,60,0,1.0
interior_safer,Risk-screen-oracle,50,12,11,0,0.9166666666666666
interior_safer,Risk-screen-oracle,100,12,12,0,1.0
interior_safer,Risk-screen-oracle,150,12,12,0,1.0
interior_safer,Risk-screen-oracle,300,12,12,0,1.0
interior_safer,Risk-screen-oracle,600,12,12,0,1.0
