regime,method,evidence_n,runs,certified_runs,certified_fraction,decision_reversals,median_upper_H,median_upper_L
baseline,DR-BGS,50,60,0,0.0,0,1.0,0.9280231107749821
baseline,DR-BGS,100,60,0,0.0,0,1.0,0.9251107744438023
baseline,DR-BGS,150,60,0,0.0,0,1.0,0.9245960268562825
baseline,DR-BGS,300,60,0,0.0,0,1.0,0.9113694514771438
baseline,DR-BGS,600,60,0,0.0,0,1.0,0.9016460989302552
baseline,DR-BGS,1200,60,0,0.0,0,1.0,0.8992348685143845
baseline,Exhaustive-training,50,12,0,0.0,0,1.0,0.9542666030353026
baseline,Exhaustive-training,100,12,0,0.0,0,1.0,0.9468776956482039
baseline,Exhaustive-training,150,12,0,0.0,0,1.0,0.9377592127579222
baseline,Exhaustive-training,300,12,0,0.0,0,1.0,0.927262797029863
baseline,Exhaustive-training,600,12,0,0.0,0,1.0,0.9115405050893048
baseline,Exhaustive-training,1200,12,0,0.0,0,1.0,0.9101677116218019
baseline,Guarded-GP,50,60,0,0.0,0,1.0,0.9667249064109775
baseline,Guarded-GP,100,60,0,0.0,0,1.0,0.9580164043716077
baseline,Guarded-GP,150,60,0,0.0,0,1.0,0.9429425651637531
baseline,Guarded-GP,300,60,0,0.0,0,1.0,0.927262797029863
baseline,Guarded-GP,600,60,0,0.0,0,1.0,0.909327088180592
baseline,Guarded-GP,1200,60,0,0.0,0,1.0,0.9036471712754504
baseline,Risk-screen-oracle,50,12,0,0.0,0,1.0,1.0
baseline,Risk-screen-oracle,100,12,0,0.0,0,1.0,0.9998734269835112
baseline,Risk-screen-oracle,150,12,0,0.0,0,1.0,0.999915614428445
baseline,Risk-screen-oracle,300,12,0,0.0,0,1.0,0.9999156108676822
baseline,Risk-screen-oracle,600,12,0,0.0,0,1.0,0.9995960626395574
baseline,Risk-screen-oracle,1200,12,0,0.0,0,1.0,0.9988684038536553
boundary_candidate,DR-BGS,50,60,30,0.5,0,0.08879564108784876,0.07112173646419764
boundary_candidate,DR-BGS,100,60,40,0.6666666666666666,0,0.060696372809728213,0.03621669264517641
boundary_candidate,DR-BGS,150,60,40,0.6666666666666666,0,0.04081340972715716,0.02429259716610854
boundary_candidate,DR-BGS,300,60,50,0.8333333333333334,0,0.031168621268585037,0.01222097469429355
boundary_candidate,DR-BGS,600,60,50,0.8333333333333334,0,0.017939078134223758,0.006129271330669258
boundary_candidate,DR-BGS,1200,60,55,0.9166666666666666,0,0.014652497400080202,0.003069346108100284
boundary_candidate,Exhaustive-training,50,12,6,0.5,0,0.10412968103408252,0.07112173646419764
boundary_candidate,Exhaustive-training,100,12,9,0.75,0,0.06981771918318033,0.03621669264517641
boundary_candidate,Exhaustive-training,150,12,9,0.75,0,0.05172552220903482,0.02429259716610854
boundary_candidate,Exhaustive-training,300,12,11,0.9166666666666666,0,0.03821353814273723,0.01222097469429355
boundary_candidate,Exhaustive-training,600,12,11,0.9166666666666666,0,0.022489250819246055,0.006129271330669258
boundary_candidate,Exhaustive-training,1200,12,11,0.9166666666666666,0,0.015174094703916476,0.003069346108100284
boundary_candidate,Guarded-GP,50,60,32,0.5333333333333333,0,0.07112173646419764,0.07112173646419764
boundary_candidate,Guarded-GP,100,60,41,0.6833333333333333,0,0.054459385392080645,0.03621669264517641
boundary_candidate,Guarded-GP,150,60,43,0.7166666666666667,0,0.046958695014393016,0.02429259716610854
boundary_candidate,Guarded-GP,300,60,44,0.7333333333333333,0,0.031168621268585037,0.01222097469429355
boundary_candidate,Guarded-GP,600,60,52,0.8666666666666667,0,0.017939078134223758,0.006129271330669258
boundary_candidate,Guarded-GP,1200,60,54,0.9,0,0.01348328408268749,0.003069346108100284
boundary_candidate,Risk-screen-oracle,50,12,6,0.5,0,0.08879564108784876,0.07112173646419764
boundary_candidate,Risk-screen-oracle,100,12,8,0.6666666666666666,0,0.06981771918318033,0.03621669264517641
