scenario_id,qH,tau,method,runs,confirmed_certified,distinct_selected_policies,max_A_upper,max_B_upper,confirmed_fraction
C01,0.2,0.5,DR-BGS,10,10,1,0.008512483409091042,0.003069346108100284,1.0
C01,0.2,0.5,Exhaustive-training,1,1,1,0.004634201514946463,0.003069346108100284,1.0
C01,0.2,0.5,Guarded-GP,10,10,4,0.008512483409091042,0.004634201514946463,1.0
C02,0.2,2.0,DR-BGS,10,10,1,0.011981751549942703,0.010850910043876468,1.0
C02,0.2,2.0,Exhaustive-training,1,1,1,0.011981751549942703,0.013093527317660683,1.0
C02,0.2,2.0,Guarded-GP,10,10,3,0.01418940040994155,0.013093527317660683,1.0
C03,0.5,0.5,DR-BGS,10,10,1,0.004634201514946463,0.006007480796118043,1.0
C03,0.5,0.5,Exhaustive-training,1,1,1,0.004634201514946463,0.006007480796118043,1.0
C03,0.5,0.5,Guarded-GP,10,10,5,0.004634201514946463,0.008512483409091042,1.0
C04,0.5,2.0,DR-BGS,10,10,1,0.003069346108100284,0.004634201514946463,1.0
C04,0.5,2.0,Exhaustive-training,1,1,1,0.006007480796118043,0.004634201514946463,1.0
C04,0.5,2.0,Guarded-GP,10,10,4,0.006007480796118043,0.006007480796118043,1.0
C05,0.8,0.5,DR-BGS,10,10,1,0.003069346108100284,0.003069346108100284,1.0
C05,0.8,0.5,Exhaustive-training,1,1,1,0.003069346108100284,0.003069346108100284,1.0
C05,0.8,0.5,Guarded-GP,10,10,2,0.003069346108100284,0.003069346108100284,1.0
C06,0.8,2.0,DR-BGS,10,10,1,0.00969661797167014,0.004634201514946463,1.0
C06,0.8,2.0,Exhaustive-training,1,1,1,0.00969661797167014,0.004634201514946463,1.0
C06,0.8,2.0,Guarded-GP,10,10,2,0.010850910043876468,0.007288522609490111,1.0
