scenario_id,policy_idx,alpha_on,alpha_off,train_score,train_score_se,train_op_cost,train_W,train_B_H,train_B_L,train_cloud_fraction,diffusion_score,diffusion_W,diffusion_B_H,diffusion_B_L,diffusion_cloud_fraction,K,rho,qH,tau
C01,0,2.0,2.0,0.04188832516483746,0.004119001953491817,0.04188832516483746,0.023283434547225423,0.0,0.0,0.03839580998275364,0.0034896185659145902,0.021772229033023543,1.5120157293365632e-10,1.5117023387212305e-10,0.0002237842109610586,40.0,0.05,0.2,0.5
C01,1,4.0,2.0,0.005819916604980518,0.00129049117517725,0.005819916604980518,0.0233074107415277,0.0,0.0,0.0023238049937513616,0.0032659041915524137,0.021772275829607852,1.51204104759024e-10,1.5120409591663619e-10,6.281711123635452e-08,40.0,0.05,0.2,0.5
C01,2,4.0,4.0,0.005819916604980516,0.00129049117517725,0.005819916604980516,0.02330741074152769,0.0,0.0,0.0023238049937513616,0.0032659041438458766,0.021772275829636693,1.5120410475962565e-10,1.5120409592435952e-10,6.276940037275035e-08,40.0,0.05,0.2,0.5
C01,3,6.0,2.0,0.004223735310890364,0.000732366491322259,0.004223735310890364,0.023298529107534858,0.0,0.0,0.0007289559447601346,0.00326584139964464,0.021772275844254105,1.5120410547605528e-10,1.5120410547283488e-10,2.300652453016947e-11,40.0,0.05,0.2,0.5
C01,4,6.0,4.0,0.004223735310890364,0.000732366491322259,0.004223735310890364,0.023298529107534854,0.0,0.0,0.0007289559447601346,0.003265841399606974,0.021772275844254438,1.5120410547605613e-10,1.51204105472841e-10,2.296880807447227e-11,40.0,0.05,0.2,0.5
C01,5,6.0,6.0,0.004223735310890363,0.0007323664913222587,0.004223735310890363,0.023298529107534854,0.0,0.0,0.0007289559447601346,0.003265841399588598,0.021772275844254913,1.512041054760575e-10,1.5120410547284497e-10,2.295036129273125e-11,40.0,0.05,0.2,0.5
C01,6,8.0,2.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766469886,0.02177227584431326,1.5120410547655836e-10,1.5120410547655836e-10,0.0,40.0,0.05,0.2,0.5
C01,7,8.0,4.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376646987,0.021772275844313245,1.5120410547655836e-10,1.5120410547655836e-10,0.0,40.0,0.05,0.2,0.5
C01,8,8.0,6.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376646987,0.021772275844313245,1.5120410547655833e-10,1.5120410547655833e-10,0.0,40.0,0.05,0.2,0.5
C01,9,8.0,8.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376646985,0.021772275844313235,1.5120410547655828e-10,1.5120410547655828e-10,0.0,40.0,0.05,0.2,0.5
C01,10,10.0,2.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,11,10.0,4.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,12,10.0,6.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647098,0.021772275844313987,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,13,10.0,8.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647096,0.021772275844313974,1.5120410547656307e-10,1.5120410547656307e-10,0.0,40.0,0.05,0.2,0.5
C01,14,10.0,10.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470927,0.021772275844313953,1.5120410547656296e-10,1.5120410547656296e-10,0.0,40.0,0.05,0.2,0.5
C01,15,12.0,2.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,16,12.0,4.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,17,12.0,6.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647098,0.021772275844313987,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,18,12.0,8.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647096,0.021772275844313974,1.5120410547656307e-10,1.5120410547656307e-10,0.0,40.0,0.05,0.2,0.5
C01,19,12.0,10.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470927,0.021772275844313953,1.5120410547656296e-10,1.5120410547656296e-10,0.0,40.0,0.05,0.2,0.5
C01,20,12.0,12.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647091,0.02177227584431394,1.5120410547656283e-10,1.5120410547656283e-10,0.0,40.0,0.05,0.2,0.5
C01,21,14.0,2.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,22,14.0,4.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,23,14.0,6.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647097,0.02177227584431398,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,24,14.0,8.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647096,0.021772275844313974,1.5120410547656307e-10,1.5120410547656307e-10,0.0,40.0,0.05,0.2,0.5
