scenario_id,K,rho,qH,tau,policy_idx,alpha_on,alpha_off,referenced_by_methods,run_references,batch_A_certified,batch_B_certified,confirmed_certified,A_n,A_viol_H,A_viol_L,A_upper_H,A_upper_L,A_certified,A_mean_B_H,A_mean_B_L,A_mean_W,A_mean_cloud_fraction,A_mean_op_cost,A_p95_B_H,A_p95_B_L,B_n,B_viol_H,B_viol_L,B_upper_H,B_upper_L,B_certified,B_mean_B_H,B_mean_B_L,B_mean_W,B_mean_cloud_fraction,B_mean_op_cost,B_p95_B_H,B_p95_B_L
C01,40.0,0.05,0.2,0.5,6,8.0,2.0,Exhaustive-training,1,1,1,1,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.00016513555151487244,0.0001830030093578865,0.036649220588306955,0.03328959184412295,0.03878697493236899,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00013055357821234622,0.00014919575034754738,0.03655342666547132,0.0332255958441293,0.03870860984394999,0.0,0.0
C01,40.0,0.05,0.2,0.5,7,8.0,4.0,DR-BGS,10,1,1,1,1200,4,0,0.008512483409091042,0.003069346108100284,1,0.00018745636201565635,0.00014543672820154998,0.036609058353195126,0.03319992331097378,0.03869128206395305,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00012376240480816984,0.00019018075256494872,0.036677389236083185,0.033312172134155604,0.03881378051956808,0.0,0.0
C01,40.0,0.05,0.2,0.5,14,10.0,10.0,Guarded-GP,1,1,1,1,1200,4,0,0.008512483409091042,0.003069346108100284,1,0.00022810170707247658,0.00019927615101520858,0.037052840222417206,0.021794272532625603,0.027352198565988188,0.0,0.0,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.00015801847986522335,0.00022138702370618334,0.037341395677607206,0.021359873368981673,0.026961082720622757,0.0,0.0
C01,40.0,0.05,0.2,0.5,19,12.0,10.0,Guarded-GP,2,1,1,1,1200,3,0,0.007288522609490111,0.003069346108100284,1,0.00020186700194841912,0.00022138788877185155,0.03755129712216757,0.014572312658720499,0.020205007227045633,0.0,0.0,1200,1,0,0.004634201514946463,0.003069346108100284,1,0.00015546972881776792,0.00024101584472720073,0.037649235607692975,0.0142452474629945,0.019892632804148446,0.0,0.0
C01,40.0,0.05,0.2,0.5,20,12.0,12.0,Guarded-GP,5,1,1,1,1200,4,0,0.008512483409091042,0.003069346108100284,1,0.0002473412709712199,0.00023362195092733166,0.037493125193393935,0.01508948987579117,0.020713458654800256,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00012277288522919038,0.00023146549205647866,0.037742208012542876,0.013834999355994722,0.019496330557876154,0.0,0.0
C01,40.0,0.05,0.2,0.5,33,16.0,12.0,Guarded-GP,2,1,1,1,1200,4,0,0.008512483409091042,0.003069346108100284,1,0.0002141441912739311,0.0002124063306963084,0.038090131701626756,0.008030068930986763,0.013743588686230778,0.0,0.0026181445905649227,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.00013330707826656268,0.00029280572631092523,0.03831816057135531,0.008300747861215712,0.014048471946919007,0.0,0.002508178844056705
C02,40.0,0.05,0.2,2.0,3,6.0,2.0,Exhaustive-training,1,1,1,1,1200,7,0,0.011981751549942703,0.003069346108100284,1,0.0003946101360574646,0.00031994301112236946,0.037899642282441165,0.030356852115259604,0.03604179845762578,0.0,0.0026666666666666666,1200,8,0,0.013093527317660683,0.003069346108100284,1,0.0004302358884128053,0.0003526278885193683,0.038286040304491224,0.03097841912663786,0.036721325172311546,0.0,0.00273224043715847
C02,40.0,0.05,0.2,2.0,6,8.0,2.0,DR-BGS,10,1,1,1,1200,7,0,0.011981751549942703,0.003069346108100284,1,0.000424047666471838,0.0003301972807577942,0.03823619301375863,0.01746941250724279,0.023204841459306583,0.0,0.0027552014367684882,1200,6,0,0.010850910043876468,0.003069346108100284,1,0.0003919533521430048,0.0003353750439051925,0.03868074775554627,0.019133258834836582,0.024935370998168522,0.0,0.002770083102493075
C02,40.0,0.05,0.2,2.0,14,10.0,10.0,Guarded-GP,7,1,1,1,1200,7,0,0.011981751549942703,0.003069346108100284,1,0.00045106067154832084,0.0003780741410567214,0.0384937466483076,0.010747995601742198,0.016522057598988338,0.0,0.0028011204481792717,1200,7,0,0.011981751549942703,0.003069346108100284,1,0.00037925331457539543,0.00036807642531479825,0.038870608476263786,0.012198302051922127,0.018028893323361692,0.0,0.002810989468292837
C02,40.0,0.05,0.2,2.0,19,12.0,10.0,Guarded-GP,2,1,1,1,1200,7,0,0.011981751549942703,0.003069346108100284,1,0.00044879639887210424,0.0003603901138570305,0.0385598950682792,0.007677551588533007,0.013461535848774887,0.0,0.0027404807728593525,1200,8,0,0.013093527317660683,0.003069346108100284,1,0.000489355942570351,0.0003948490815517743,0.039060105140885,0.007941069473507782,0.01380008524464053,0.0,0.002890173410404624
