scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H01,0.7,0.2,0.5,0,2.0,2.0,150,123,60,0.8779003724223797,0.4830686918302443,0,0.05423497102926556,0.04718733157834336,0.19918471630646645,0.5480058241417418,0.5778835315877118,0.13513513513513514,0.09520654414290619
R15H01,0.7,0.2,0.5,1,4.0,2.0,150,122,45,0.8722317344011091,0.38012123362421896,0,0.054175467875641994,0.04152672240003134,0.19355587860682916,0.5513673023824771,0.5804006841735014,0.13904373610081536,0.09969178082191779
R15H01,0.7,0.2,0.5,2,4.0,4.0,150,119,49,0.8550511836699326,0.4079327950118155,0,0.05365324921539643,0.042946876208098624,0.19359649879172972,0.5397095704194993,0.5687490452382589,0.125,0.09770451926769937
R15H01,0.7,0.2,0.5,3,6.0,2.0,150,122,63,0.8722317344011091,0.5032409468704364,0,0.05954787704041876,0.052102136294871496,0.20458720299242067,0.5128530879799152,0.5435411684287784,0.14897727272727268,0.11929392977144332
R15H01,0.7,0.2,0.5,4,6.0,4.0,150,124,63,0.8835378266393749,0.5032409468704364,0,0.06352967591441372,0.04945895958425837,0.21015182975401062,0.5042311722950641,0.5357539467581658,0.15624768261030758,0.11633738601823705
R15H01,0.7,0.2,0.5,5,6.0,6.0,150,123,65,0.8779003724223797,0.5166164677468423,0,0.06357701884644079,0.05267834154212772,0.20659581413100198,0.5025448318920634,0.5335342040117138,0.1573275862068965,0.13540177213264373
R15H01,0.7,0.2,0.5,6,8.0,2.0,150,122,53,0.8722317344011091,0.4354752549149465,0,0.05992488534734348,0.04660997608086582,0.2004303688066299,0.5147434415629418,0.5448079968839362,0.1651104223169313,0.1138295292815349
R15H01,0.7,0.2,0.5,7,8.0,4.0,150,122,60,0.8722317344011091,0.4830686918302443,0,0.05731755329289031,0.05084365457018412,0.20435500023963737,0.5054842959361316,0.5361375459720773,0.15173202614379072,0.12677985948477744
R15H01,0.7,0.2,0.5,8,8.0,6.0,150,123,64,0.8779003724223797,0.5099359118817948,0,0.057006669959081824,0.04986117000252481,0.20507921322034894,0.49555757564261155,0.5263194576256639,0.13830658927961761,0.11832646712628216
R15H01,0.7,0.2,0.5,9,8.0,8.0,150,128,69,0.9057449151374255,0.5431960267478911,0,0.06426513042713031,0.05291673982063937,0.21406157869625214,0.48842122454587816,0.520530461350316,0.14449404761904758,0.12674067860138855
