scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,methods,run_references,confirmed,A_n,A_viol_H,A_viol_L,A_upper_H,A_upper_L,A_certified,A_mean_B_H,A_mean_B_L,A_mean_W,A_mean_cloud_fraction,A_mean_op_cost,A_p95_B_H,A_p95_B_L,B_n,B_viol_H,B_viol_L,B_upper_H,B_upper_L,B_certified,B_mean_B_H,B_mean_B_L,B_mean_W,B_mean_cloud_fraction,B_mean_op_cost,B_p95_B_H,B_p95_B_L
R15L01,0.05,0.2,0.5,28,16.0,2.0,Exhaustive-training,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030049692783359193,0.00020099788471022832,0.004708451802214107,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03010984424065295,0.0002213267624033651,0.004737803398501307,0.0,0.0
R15L01,0.05,0.2,0.5,33,16.0,12.0,Guarded-GP,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030051393358643257,0.0001693145405820137,0.004677023544378503,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030114221160569256,0.0002058002004072073,0.004722933374492594,0.0,0.0
R15L01,0.05,0.2,0.5,35,16.0,16.0,DR-BGS;Guarded-GP,16,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030053046943561985,0.00018010854776359737,0.004688065589297894,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030111543963717798,0.0002115402897267311,0.004728271884284401,0.0,0.0
R15L01,0.05,0.2,0.5,41,18.0,12.0,Guarded-GP,2,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030052646741245824,7.297159279435621e-05,0.004580868603981231,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03011080256211314,0.0001173822953106451,0.004634002679627616,0.0,0.0
R15L01,0.05,0.2,0.5,45,20.0,2.0,Guarded-GP,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030052747945759996,5.5093492405020894e-05,0.00456300568426902,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030114871603994172,3.121561791651114e-05,0.004548446358515637,0.0,0.0
R15L02,0.05,0.2,2.0,36,18.0,2.0,Exhaustive-training,1,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03007437217888724,6.047527010208878e-05,0.004571631096935174,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014443266230515,0.00010435467784952788,0.004626019577195299,0.0,0.0
R15L02,0.05,0.2,2.0,45,20.0,2.0,DR-BGS;Guarded-GP,20,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030075837660063342,5.538580854073317e-05,0.004566761457550235,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03014551618662042,3.283541655127913e-05,0.0045546628445443426,0.0,0.0
R15L03,0.05,0.5,0.5,21,14.0,2.0,Exhaustive-training;Guarded-GP,9,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030129781870821125,0.0002587998866158111,0.00477826716723898,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170135434785503,0.0002621479069705482,0.004787668222188374,0.0,0.0
R15L03,0.05,0.5,0.5,22,14.0,4.0,Guarded-GP,2,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,4.504504504504505e-06,0.030123781922620576,0.0004083902861034014,0.004926957574496488,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030170811392347913,0.00023520587570148216,0.004760827584553668,0.0,0.0
R15L03,0.05,0.5,0.5,41,18.0,12.0,DR-BGS,10,1,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.030130688352986622,9.433977425906827e-05,0.004613943027207062,0.0,0.0,1200,0,0,0.003069346108100284,0.003069346108100284,1,0.0,0.0,0.03017349271173736,5.744809635032814e-05,0.0045834720031109315,0.0,0.0
