scenario_id,median_regret,max_seed_regret,success_1,success_5,exact
T01,0.0,0.0,1.0,1.0,1.0
T02,0.0,0.0,1.0,1.0,1.0
T03,0.0,0.0,1.0,1.0,1.0
T04,0.0,0.0,1.0,1.0,1.0
T05,0.0,0.0,1.0,1.0,1.0
T06,0.0,0.0,1.0,1.0,1.0
T07,0.0,0.0,1.0,1.0,1.0
T08,0.0,0.0,1.0,1.0,1.0
T09,0.0,0.0,1.0,1.0,1.0
T10,0.0,0.0,1.0,1.0,1.0
T11,0.0,0.0,1.0,1.0,1.0
T12,0.0,0.0,1.0,1.0,1.0
T13,0.0,0.0,1.0,1.0,1.0
T14,0.0,0.0,1.0,1.0,1.0
T15,0.0,0.0,1.0,1.0,1.0
T16,0.0,0.0,1.0,1.0,1.0
T17,0.0,0.0,1.0,1.0,1.0
T18,0.0,0.0,1.0,1.0,1.0
T19,0.0,0.0,1.0,1.0,1.0
T20,0.0,0.0,1.0,1.0,1.0
T21,0.0,0.0,1.0,1.0,1.0
T22,0.0023041625457989262,0.0023041625457989262,1.0,1.0,0.0
T23,0.0,0.0,1.0,1.0,1.0
T24,0.0,0.0,1.0,1.0,1.0
T25,0.0,0.0,1.0,1.0,1.0
T26,0.0,0.0,1.0,1.0,1.0
T27,0.0,0.0,1.0,1.0,1.0
T28,0.0,0.0,1.0,1.0,1.0
T29,0.0,0.0,1.0,1.0,1.0
T30,0.0,0.0,1.0,1.0,1.0
T31,0.0,0.0,1.0,1.0,1.0
T32,0.006376760640266166,0.006376760640266166,1.0,1.0,0.0
T33,0.0,0.0,1.0,1.0,1.0
T34,0.0,0.0,1.0,1.0,1.0
T35,0.0,0.0,1.0,1.0,1.0
T36,0.0,0.0,1.0,1.0,1.0
T37,0.0,0.0,1.0,1.0,1.0
T38,0.0,0.0,1.0,1.0,1.0
T39,0.0,0.0,1.0,1.0,1.0
T40,0.0,0.0,1.0,1.0,1.0
T41,0.0,0.0,1.0,1.0,1.0
T42,0.0,0.0,1.0,1.0,1.0
T43,0.0,0.0,1.0,1.0,1.0
T44,0.0,0.0,1.0,1.0,1.0
T45,0.0,0.0,1.0,1.0,1.0
T46,0.0,0.0,1.0,1.0,1.0
T47,0.0,0.0,1.0,1.0,1.0
T48,0.0,0.0,1.0,1.0,1.0
T49,0.0,0.0,1.0,1.0,1.0
T50,0.0,0.0,1.0,1.0,1.0
T51,0.0,0.0,1.0,1.0,1.0
T52,0.0,0.0,1.0,1.0,1.0
T53,0.0,0.0,1.0,1.0,1.0
T54,0.0,0.0,1.0,1.0,1.0
T55,0.0,0.0,1.0,1.0,1.0
T56,0.0,0.0,1.0,1.0,1.0
T57,0.0,0.0,1.0,1.0,1.0
T58,0.0,0.0,1.0,1.0,1.0
T59,0.0,0.0,1.0,1.0,1.0
