scenario_id,design,K,mu_max,rho,arrival_scv,mean_jump_fraction,tau,qH,beta,jump_cv,cloud_cost_multiplier,deactivation_mean,lambda_H,lambda_L,mean_H,mean_L,cv_H,cv_L,cW,cB,cL,cC,policy_count,diffusion_best_idx,exhaustive_train_idx,holdout_oracle_idx,single_train_idx,selection_idx,final_idx,selection_candidate_count,certified,fallback,certificate_stage_reps,certificate_ambiguous_count,certificate_simulation_count,algorithm_simulation_count,exhaustive_simulation_count,work_reduction,holdout_regret_vs_exhaustive,holdout_regret_vs_oracle,hysteresis_gain_vs_best_single,adaptive_gain_vs_best_single,exhaustive_holdout_objective,adaptive_holdout_objective,single_holdout_objective,selected_alpha_on,selected_alpha_off,exhaustive_alpha_on,exhaustive_alpha_off,pareto_count,distinct_weight_optima,robust_idx,robust_max_additive_regret,equal_weight_idx,elapsed_seconds
I31,frozen_iid59,37.21253687095291,111.63761061285874,0.565227877855103,1.0,0.06360525483846563,0.48970700871802925,0.47396095420168016,0.8310437126870955,0.9493380478675293,0.9908264390416585,0.7624256199573021,10.987441005974892,16.498744119063563,2.721949824492172,2.0118759572333444,0.9493380478675293,0.9493380478675293,1.0,10.0,2.5,0.25,190,33,41,62,8,44,43,45,0,1,20,18,900,1290,3830,0.6631853785900783,0.0017546486594846955,0.005976412565730917,0.004701080803265341,0.0029546808889102244,0.1649893636393676,0.16527886200510664,0.1657686554834439,16.74564159192881,14.885014748381163,16.74564159192881,11.163761061285873,100,10,30,0.3389172582442497,8,22.81333351135254
I32,frozen_iid59,77.6663156281819,232.99894688454572,0.8771380441777048,4.0,0.07119339680674301,0.5500804008080367,0.24603177087176842,1.2143778624181367,1.789239394001386,1.842801712903012,1.5197948840317688,7.907566272479891,32.78563565786601,6.358728151090135,4.699929502979665,1.789239394001386,1.789239394001386,1.0,10.0,2.5,0.25,190,0,0,0,0,0,1,34,0,1,20,1,680,982,3830,0.743603133159269,0.014977744569766756,0.014977744569766756,-0.0031338463509382494,-0.018158528870870255,0.9841691739509297,0.9989098084518051,0.9810945742993364,7.766631562818191,3.8833157814090953,3.8833157814090953,3.8833157814090953,124,7,62,0.44862738290798987,0,27.49841332435608
I33,frozen_iid59,54.964224125991585,164.89267237797475,0.8110441832656121,4.0,0.0831347563079435,1.4700230797349967,0.7379961988436694,0.7355468232888539,1.7351830335078802,1.383400932603673,0.35061709947764663,18.781895728335886,9.021355703257722,5.2548529851249235,3.884021771614074,1.7351830335078802,1.7351830335078802,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,36,1,0,10,0,231,549,3830,0.8566579634464752,0.0,0.0,0.0006283795280385207,0.0006283795280385207,1.1819163266626236,1.1819163266626236,1.1826594856720605,2.7482112062995796,2.7482112062995796,2.7482112062995796,2.7482112062995796,157,6,139,0.4829322646430861,0,22.60537338256836
I34,frozen_iid59,44.73394196340595,134.20182589021783,0.591747648506796,1.0,0.08740363962173836,1.55003932791295,0.30188080061347555,0.9767128044892422,0.9853603505984783,1.2402632892117047,1.7721447109194526,5.331702770755311,16.681647276754845,4.496395743563686,3.3234229408948983,0.9853603505984783,0.9853603505984783,1.0,10.0,2.5,0.25,190,0,0,3,1,0,5,32,0,1,20,9,640,926,3830,0.75822454308094,0.019567854987720585,0.02915102113646983,0.013292009527458598,-0.006015749345333279,0.5113722352377804,0.5213786929816598,0.5182609649212232,6.710091294510892,6.710091294510892,2.2366970981702976,2.2366970981702976,102,6,42,0.40975486857511,3,16.319114446640015
I35,frozen_iid59,44.93106312388447,134.7931893716534,0.614425806087868,4.0,0.054382690492767054,3.0131010773386744,0.563414694315628,1.0804985254818884,1.0376653467410062,2.373807248923827,0.8672449831814055,16.605820612335137,17.4092555991365,2.8099929142837667,2.0769512844706104,1.0376653467410062,1.0376653467410062,1.0,10.0,2.5,0.25,190,0,3,0,0,0,0,33,1,0,15,0,271,565,3830,0.8524804177545692,0.0,0.0,0.0066845017204474125,0.016004868502876992,1.3913454602604094,1.3782903432979177,1.4007084986293425,2.246553156194224,2.246553156194224,6.739659468582671,2.246553156194224,109,5,43,0.4659747468446317,0,27.370641946792603
I36,frozen_iid59,34.361182979332554,103.08354893799766,0.8686933689805729,4.0,0.07455179295588937,0.8500658412628594,0.24791378924031585,0.8458527534514136,0.5098835017510972,0.855478642514988,0.25072940877655653,7.5358546199232315,30.929889533712586,2.945940969073825,2.177434629315436,0.5098835017510972,0.5098835017510972,1.0,10.0,2.5,0.25,190,0,1,0,0,1,1,32,0,1,20,1,640,926,3830,0.75822454308094,0.0,0.026153932143983056,-0.03315810167923206,-0.03315810167923206,1.9918045200426495,1.9918045200426495,1.9278796892801713,3.4361182979332554,1.7180591489666277,3.4361182979332554,1.7180591489666277,124,6,176,0.44414572731300667,0,31.899889707565308
I37,frozen_iid59,57.74513974148992,173.23541922446975,0.6011008473957905,4.0,0.09489288286867581,0.6347161442965681,0.6869923716785427,1.0949133095706234,1.4730928361529076,2.817871084526023,1.9021944033233034,11.352435117960042,6.997951855415929,6.301543198983197,4.657662364465842,1.4730928361529076,1.4730928361529076,1.0,10.0,2.5,0.25,190,0,0,30,0,0,0,34,1,0,10,0,228,530,3830,0.8616187989556136,0.0,0.0007378816226318916,0.0016100713252961284,0.0016100713252961284,1.3829389931877782,1.3829389931877782,1.3851692144205998,2.887256987074496,2.887256987074496,2.887256987074496,2.887256987074496,143,3,85,0.4997252686572459,0,17.522397994995117
I38,frozen_iid59,36.08213317354483,108.2463995206345,0.8543964309119504,1.0,0.0604741594195264,1.5633408700910199,0.47677867298586046,0.9224820777381345,0.8244487383545416,0.5658801354455227,1.6307914860263844,17.572348993966187,26.090196618087994,2.5093421747935616,1.8547311726735023,0.8244487383545416,0.8244487383545416,1.0,10.0,2.5,0.25,190,0,0,1,0,0,1,33,0,1,20,2,660,954,3830,0.7509138381201044,0.0,0.0,-0.04478386827252778,-0.03183653726151051,1.040103604585737,1.0272142730567293,0.995520352267183,3.6082133173544833,1.8041066586772416,1.8041066586772416,1.8041066586772416,105,3,71,0.43582115504601393,1,34.171432971954346
I39,frozen_iid59,37.35079603242757,112.0523880972827,0.8703248544691684,1.0,0.060506446085936444,0.3893029034600768,0.7897598577015683,0.7212203050494775,1.8457873277497214,1.530786468931317,1.0760313845204392,29.634541413415633,10.673275314068379,2.59895851536332,1.9209693374424541,1.8457873277497214,1.8457873277497214,1.0,10.0,2.5,0.25,190,0,19,20,3,2,2,35,1,0,10,0,216,526,3830,0.8626631853785901,0.00227378620775596,0.006924363710811594,-0.0014366402516933516,-0.003713693072239119,0.8476854486404056,0.8496129041220396,0.8464693766620671,3.735079603242757,3.735079603242757,11.20523880972827,9.337699008106892,126,10,113,0.4656215750033365,0,31.163919925689697
I40,frozen_iid59,38.64946263973545,115.94838791920634,0.7741841829120759,4.0,0.07784071747707914,0.28692641297022986,0.6051037723803172,0.7459616263125779,0.7322195401015702,0.7815526054519886,1.6395021700943335,15.699677767203877,13.861900522760143,3.4597771872776577,2.5572266166834865,0.7322195401015702,0.7322195401015702,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,32,1,0,10,0,189,475,3830,0.8759791122715405,0.0,0.0,-0.007492567884823981,-0.007492567884823981,0.7069924819083441,0.7069924819083441,0.7017346871279025,1.9324731319867725,1.9324731319867725,1.9324731319867725,1.9324731319867725,148,3,53,0.5122937145902385,0,19.621508359909058
