scenario_id,median_regret,max_seed_regret,success_1,success_5,exact
I01,0.0,0.0,1.0,1.0,1.0
I02,0.0,0.0,1.0,1.0,1.0
I03,0.0,0.0,1.0,1.0,1.0
I04,0.0,0.0,1.0,1.0,1.0
I05,0.0,0.0,1.0,1.0,1.0
I06,0.0,0.0,1.0,1.0,1.0
I07,0.0,0.0,1.0,1.0,1.0
I08,0.0,0.0,1.0,1.0,1.0
I09,0.0,0.0,1.0,1.0,1.0
I10,0.0,0.0,1.0,1.0,1.0
I11,0.0,0.0,1.0,1.0,1.0
I12,0.0,0.0,1.0,1.0,1.0
I13,0.0,0.0,1.0,1.0,1.0
I14,0.0,0.0,1.0,1.0,1.0
I15,0.0,0.0,1.0,1.0,1.0
I16,0.0,0.0,1.0,1.0,1.0
I17,0.0,0.0,1.0,1.0,1.0
I18,0.0,0.0,1.0,1.0,1.0
I19,0.0,0.0,1.0,1.0,0.0
I20,0.0,0.0,1.0,1.0,1.0
I21,0.0,0.0,1.0,1.0,1.0
I22,0.0,0.0,1.0,1.0,1.0
I23,0.0,0.0,1.0,1.0,1.0
I24,0.0,0.0,1.0,1.0,1.0
I25,0.0,0.0,1.0,1.0,0.0
I26,0.0,0.0,1.0,1.0,1.0
I27,0.0,0.0,1.0,1.0,1.0
I28,0.0,0.0,1.0,1.0,1.0
I29,0.0,0.0,1.0,1.0,1.0
I30,0.0,0.0,1.0,1.0,1.0
I31,0.0,0.0,1.0,1.0,1.0
I32,0.0,0.0,1.0,1.0,1.0
I33,0.0,0.0,1.0,1.0,1.0
I34,0.0,0.0,1.0,1.0,1.0
I35,0.0,0.0,1.0,1.0,1.0
I36,0.0,0.0,1.0,1.0,1.0
I37,0.0,0.0,1.0,1.0,1.0
I38,0.0,0.0,1.0,1.0,1.0
I39,0.0,0.0,1.0,1.0,0.0
I40,0.0,0.0,1.0,1.0,1.0
I41,0.0,0.0,1.0,1.0,1.0
I42,0.0,0.0,1.0,1.0,1.0
I43,0.0,0.0,1.0,1.0,1.0
I44,0.0,0.0,1.0,1.0,1.0
I45,0.0,0.0,1.0,1.0,0.0
I46,0.0,0.0,1.0,1.0,1.0
I47,0.003060773073709198,0.003060773073709198,1.0,1.0,0.0
I48,0.0,0.0,1.0,1.0,1.0
I49,0.0,0.0,1.0,1.0,1.0
I50,0.0,0.0,1.0,1.0,1.0
I51,0.0,0.0,1.0,1.0,1.0
I52,0.0,0.0,1.0,1.0,1.0
I53,0.0,0.0,1.0,1.0,1.0
I54,0.0,0.0,1.0,1.0,1.0
I55,0.0,0.0,1.0,1.0,1.0
I56,0.0,0.0,1.0,1.0,1.0
I57,0.0,0.0,1.0,1.0,1.0
I58,0.0,0.0,1.0,1.0,1.0
I59,0.0,0.0,1.0,1.0,1.0
