scenario_id,design,K,mu_max,rho,arrival_scv,mean_jump_fraction,tau,qH,beta,jump_cv,cloud_cost_multiplier,deactivation_mean,lambda_H,lambda_L,mean_H,mean_L,cv_H,cv_L,cW,cB,cL,cC,policy_count,diffusion_best_idx,exhaustive_train_idx,holdout_oracle_idx,single_train_idx,selection_idx,final_idx,selection_candidate_count,certified,fallback,certificate_stage_reps,certificate_ambiguous_count,certificate_simulation_count,algorithm_simulation_count,exhaustive_simulation_count,work_reduction,holdout_regret_vs_exhaustive,holdout_regret_vs_oracle,hysteresis_gain_vs_best_single,adaptive_gain_vs_best_single,exhaustive_holdout_objective,adaptive_holdout_objective,single_holdout_objective,selected_alpha_on,selected_alpha_off,exhaustive_alpha_on,exhaustive_alpha_off,pareto_count,distinct_weight_optima,robust_idx,robust_max_additive_regret,equal_weight_idx,elapsed_seconds
I51,frozen_iid59,35.21508045980181,105.64524137940543,0.6282314355082768,1.0,0.0510088065165142,1.0391081656917225,0.5264892657529621,1.168654953119769,1.9524674538385745,0.2621798226291963,1.146626497651151,16.915601175818896,20.582904516229107,2.065721109483137,1.526837341791884,1.9524674538385745,1.9524674538385745,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,34,1,0,20,0,338,640,3830,0.8328981723237598,0.0,0.0,0.0062490431359342,0.0062490431359342,0.428926997492578,0.428926997492578,0.4316242359616168,1.7607540229900909,1.7607540229900909,1.7607540229900909,1.7607540229900909,114,8,72,0.4088436478944698,0,27.12701964378357
I52,frozen_iid59,67.69797450500074,203.09392351500225,0.5534142005678366,4.0,0.0803756872805589,0.8487599998179925,0.4183161991657659,0.6514350724110122,1.8776735243826,0.6367264461271007,1.222512726322606,7.513697328737629,14.135621172794252,6.257461912592372,4.625080544090015,1.8776735243826,1.8776735243826,1.0,10.0,2.5,0.25,190,0,0,0,1,1,1,34,1,0,15,0,276,578,3830,0.8490861618798955,0.0078707842216941,0.0078707842216941,0.0026920448705029,-0.0051575508469003,0.5042717831032797,0.5082407974971745,0.5056329697458412,6.769797450500075,3.384898725250037,3.384898725250037,3.384898725250037,148,5,68,0.4872966580385517,0,16.167089700698853
I53,frozen_iid59,34.475148018554215,103.42544405566264,0.601757743311881,1.0,0.0964772747693724,1.3307035133848215,0.4300768373867812,0.8154879168475223,0.920781376831988,1.4012398983739756,1.1324456362838076,6.997874150928775,12.54628928138648,3.8249785773159664,2.8271580788857142,0.920781376831988,0.920781376831988,1.0,10.0,2.5,0.25,190,0,1,4,2,1,3,32,0,1,20,14,640,926,3830,0.75822454308094,0.0002935801686805,0.0004895159235783,-0.0021293741025713,-0.0024235794132601,0.458707002146517,0.4588416694255822,0.4577323188009524,5.171272202783133,1.7237574009277108,3.4475148018554216,1.7237574009277108,98,6,42,0.4124176346494634,1,16.141793727874756
I54,frozen_iid59,70.93696287732375,212.81088863197124,0.8097872529101593,4.0,0.0725278369560535,0.627690136289464,0.5215560330126965,0.687327161804619,1.2637444181536963,0.2936560022282912,1.6149618200009952,15.19114812611702,18.85383154249389,5.916640149382787,4.3731688060655385,1.2637444181536963,1.2637444181536963,1.0,10.0,2.5,0.25,190,0,0,0,0,3,0,36,0,1,20,3,720,1038,3830,0.7289817232375979,0.0,0.0,0.001409322001132,0.001409322001132,0.5635384650576,0.5635384650576,0.5643337930881814,3.546848143866188,3.546848143866188,3.546848143866188,3.546848143866188,139,4,71,0.4988847840065244,0,27.792758464813232
I55,frozen_iid59,52.23114826891172,156.69344480673516,0.8084879177920683,1.0,0.0534123752426448,1.6069733724635225,0.3292491180582304,1.3954135806476664,0.5080788810129035,1.3816776199360146,1.842156628110641,13.001087385256891,35.833994612763995,3.2082581442973312,2.371321237089332,0.5080788810129035,0.5080788810129035,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,32,0,1,20,2,640,926,3830,0.75822454308094,0.0,0.0,-0.0658308087402032,-0.0658308087402032,1.9877449237084988,1.9877449237084988,1.864972289605688,2.611557413445586,2.611557413445586,2.611557413445586,2.611557413445586,82,7,142,0.4460874603092771,4,36.57108426094055
I56,frozen_iid59,63.060289841117566,189.1808695233527,0.8680016555406509,4.0,0.0767916665052192,0.2772441712827029,0.5853840028257633,0.9091398302713898,1.713795843290522,0.2620942413628968,0.4749191716569292,17.261189692919793,16.540736545696216,5.568880459281796,4.116129035121327,1.713795843290522,1.713795843290522,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,34,1,0,10,0,224,526,3830,0.8626631853785901,0.0,0.0,0.0095061788885321,0.0095061788885321,0.8343063367665826,0.8343063367665826,0.8423135197657046,3.1530144920558785,3.1530144920558785,3.1530144920558785,3.1530144920558785,126,6,111,0.4819491240956959,0,27.23474907875061
I57,frozen_iid59,57.70520973322162,173.11562919966485,0.8797265581729147,4.0,0.0738380628777658,3.383116237355942,0.5127791089103854,0.7732071727412125,1.0968819955561513,1.399330298409793,1.19407651881929,15.937534806751476,20.48781478325051,4.899967040354728,3.621714768957842,1.0968819955561513,1.0968819955561513,1.0,10.0,2.5,0.25,190,0,0,3,0,0,0,36,1,0,20,0,306,624,3830,0.8370757180156658,0.0,0.007727019345321,-0.0111191399373531,-0.0111191399373531,1.7514470028010818,1.7514470028010818,1.7321865778444248,2.8852604866610814,2.8852604866610814,2.8852604866610814,2.8852604866610814,142,3,51,0.4923587205075498,1,30.428802013397217
I58,frozen_iid59,66.41330040947784,199.23990122843352,0.8614353402974582,1.0,0.0930119523950722,0.5873162658750726,0.2043486906233315,0.6078334644849718,0.6215868716631213,2.9135747357851955,1.9653157138148736,4.93718269011299,26.008124464024625,7.103815346498882,5.250646125673087,0.6215868716631213,0.6215868716631213,1.0,10.0,2.5,0.25,190,0,1,0,2,1,5,32,0,1,20,3,640,926,3830,0.75822454308094,0.0131147054256903,0.0210669952235569,0.0068220169529254,-0.0062032197300181,0.8122995188520175,0.8229525877591917,0.8178791039647082,9.961995061421677,9.961995061421677,6.641330040947784,3.3206650204738923,102,10,40,0.403132658458004,0,20.09350347518921
I59,frozen_iid59,55.38266724202311,166.14800172606934,0.8594192803883427,1.0,0.0660190885419726,3.7989493120989226,0.5563598545419811,1.3272231156308658,1.2807344591346146,0.5038018559583813,1.5956308937298689,18.89360221957138,20.38302965620637,4.204760194192989,3.1078662304904703,1.2807344591346146,1.2807344591346146,1.0,10.0,2.5,0.25,190,0,0,3,0,6,3,41,0,1,20,10,820,1178,3830,0.6924281984334204,0.0,0.0,-0.0076791725745858,-0.0052031939707159,2.060819047437468,2.0557553882820785,2.045114262084177,8.307400086303467,2.769133362101156,2.769133362101156,2.769133362101156,150,5,164,0.5058033214409544,3,32.72207474708557
I11,frozen_iid59,65.38388615411603,196.15165846234808,0.6311043004187147,4.0,0.0690512416633193,1.2895767896417063,0.5143256817142533,1.1542553921209482,0.9074174257743776,0.7898926810551036,1.1287390476751145,12.262845932211372,15.66668514347064,5.1920643022720485,3.8376127451576014,0.9074174257743776,0.9074174257743776,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,32,0,1,20,1,640,926,3830,0.75822454308094,0.0,0.0,0.0092922897475968,0.0092922897475968,1.1023071614572222,1.1023071614572222,1.1126461922622837,3.269194307705801,3.269194307705801,3.269194307705801,3.269194307705801,122,4,52,0.4700371385812328,0,23.532520055770878
I12,frozen_iid59,42.83551752082353,128.50655256247055,0.7142871859474316,4.0,0.062678995150726,0.8436253406064467,0.2245068816028517,0.6884040082385544,0.6722814585290648,0.2707673173666497,1.5664534470593756,6.674272060859188,31.191130162756004,3.0876202742115204,2.282154115721559,0.6722814585290648,0.6722814585290648,1.0,10.0,2.5,0.25,190,0,1,0,0,1,0,32,0,1,20,6,640,926,3830,0.75822454308094,0.0,0.0,0.009894880608322,0.0244269630763149,0.4817542864528236,0.4746834281339182,0.4865688269027577,2.1417758760411765,2.1417758760411765,4.283551752082353,2.1417758760411765,109,5,43,0.4559602200010653,0,26.702948093414307
I13,frozen_iid59,40.84442354939373,122.5332706481812,0.5634129089527085,4.0,0.0658427899503395,0.9793767168987584,0.7076191701569854,1.1478485399220648,1.2932452851471137,0.8059815153632149,0.4234640434511315,15.795798052598986,8.83018478273714,3.092707420466249,2.285914180344619,1.2932452851471137,1.2932452851471137,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,33,1,0,15,0,238,532,3830,0.8610966057441254,0.0,0.0,0.0123967168547278,0.0123967168547278,0.9867434357848864,0.9867434357848864,0.9991293595565546,2.0422211774696866,2.0422211774696866,2.0422211774696866,2.0422211774696866,139,6,84,0.4741318296289969,0,20.67601847648621
I14,frozen_iid59,48.81525081458224,146.4457524437467,0.7245075501724347,4.0,0.0530410484398216,0.5270562594630747,0.2547059781006576,1.2796745266581335,1.8620204095724089,2.0007794513111263,1.6998689575975057,9.075976615947654,35.930294955064554,2.9775938955170465,2.200830270599556,1.8620204095724089,1.8620204095724089,1.0,10.0,2.5,0.25,190,0,1,0,0,0,0,32,1,0,20,0,315,601,3830,0.8430809399477807,0.0,0.0,-0.0100228206174684,0.0038601029983266,0.8221269523724165,0.8108266872206894,0.8139686902022832,2.440762540729112,2.440762540729112,4.881525081458224,2.440762540729112,104,4,54,0.443502499143055,0,27.82718324661255
