scenario_id,method,median_regret_across_seeds,p90_regret_across_seeds,success_1pct_across_seeds,success_5pct_across_seeds,exact_match_across_seeds,policy_evaluation_budget
F01,GP_BO,0.0,0.0,1.0,1.0,1.0,60
F01,MIGR_H,0.0,0.0,1.0,1.0,0.0,60
F01,diffusion_topk,0.0,0.0,1.0,1.0,1.0,60
F01,exhaustive,0.0,0.0,1.0,1.0,1.0,60
F01,high_fidelity_local_search,0.0,0.0,1.0,1.0,1.0,60
F01,random_RS,0.0,0.0,1.0,1.0,0.4,60
F03,GP_BO,0.0,0.0,1.0,1.0,1.0,70
F03,MIGR_H,0.0,0.0,1.0,1.0,0.0,70
F03,diffusion_topk,0.0,0.0,1.0,1.0,1.0,70
F03,exhaustive,0.0,0.0,1.0,1.0,1.0,70
F03,high_fidelity_local_search,0.04294869646711975,0.04294869646711975,0.0,1.0,0.0,70
F03,random_RS,0.0,0.06308210964996748,0.6,0.8,0.2,70
F04,GP_BO,0.0,0.0,1.0,1.0,1.0,58
F04,MIGR_H,0.01790928401627084,0.01790928401627084,0.0,1.0,0.0,58
F04,diffusion_topk,0.0,0.0,1.0,1.0,1.0,58
F04,exhaustive,0.0,0.0,1.0,1.0,1.0,58
F04,high_fidelity_local_search,0.006605502197840034,0.006605502197840034,1.0,1.0,0.0,58
F04,random_RS,0.0024116989837357082,0.015935480623572147,0.6,1.0,0.4,58
F06,GP_BO,0.0,0.0,1.0,1.0,1.0,44
F06,MIGR_H,0.0,0.0,1.0,1.0,0.0,44
F06,diffusion_topk,0.0,0.0,1.0,1.0,1.0,44
F06,exhaustive,0.0,0.0,1.0,1.0,1.0,44
F06,high_fidelity_local_search,0.0,0.0,1.0,1.0,1.0,44
F06,random_RS,0.0,0.005647651919704963,1.0,1.0,0.0,44
F07,GP_BO,0.0,0.0,1.0,1.0,1.0,67
F07,MIGR_H,0.0,0.0,1.0,1.0,0.0,67
F07,diffusion_topk,0.06966060920658246,0.06966060920658246,0.0,0.0,0.0,67
F07,exhaustive,0.0,0.0,1.0,1.0,1.0,67
F07,high_fidelity_local_search,0.0,0.0,1.0,1.0,1.0,67
F07,random_RS,0.0,0.0,1.0,1.0,0.6,67
F09,GP_BO,0.0,0.0,1.0,1.0,1.0,63
F09,MIGR_H,0.0,0.0,1.0,1.0,0.0,63
F09,diffusion_topk,0.0,0.0,1.0,1.0,1.0,63
F09,exhaustive,0.0,0.0,1.0,1.0,1.0,63
F09,high_fidelity_local_search,0.0,0.0,1.0,1.0,1.0,63
F09,random_RS,0.00012156646106489549,0.00012156646106489549,1.0,1.0,0.2,63
F10,GP_BO,0.0,0.0,1.0,1.0,1.0,50
F10,MIGR_H,0.0,0.0,1.0,1.0,0.0,50
F10,diffusion_topk,0.0,0.0,1.0,1.0,1.0,50
F10,exhaustive,0.0,0.0,1.0,1.0,1.0,50
F10,high_fidelity_local_search,0.0,0.0,1.0,1.0,1.0,50
F10,random_RS,0.0,0.0046117149410866,1.0,1.0,0.2,50
F12,GP_BO,0.0,0.0,1.0,1.0,1.0,44
F12,MIGR_H,0.0,0.0,1.0,1.0,0.0,44
F12,diffusion_topk,0.0,0.0,1.0,1.0,1.0,44
F12,exhaustive,0.0,0.0,1.0,1.0,1.0,44
