scenario_id,design,method,seed,equal_budget_replications,policy_evaluation_budget,selected_idx,selected_alpha_on,selected_alpha_off,visited_policies,holdout_objective,exhaustive_holdout_objective,regret_vs_exhaustive,exact_match
F01,factorial,diffusion_topk,0,1204,60,43,18.0,16.0,60,0.0743613345570827,0.0743613345570827,0.0,1
F01,factorial,high_fidelity_local_search,0,1204,60,43,18.0,16.0,60,0.0743613345570827,0.0743613345570827,0.0,1
F01,factorial,MIGR_H,0,1204,60,42,18.0,14.0,43,0.0730783315976936,0.0743613345570827,0.0,0
F01,factorial,exhaustive,0,1204,60,43,18.0,16.0,190,0.0743613345570827,0.0743613345570827,0.0,1
F01,factorial,random_RS,0,1204,60,33,16.0,12.0,60,0.0736491560185863,0.0743613345570827,0.0,0
F01,factorial,GP_BO,0,1204,60,43,18.0,16.0,60,0.0743613345570827,0.0743613345570827,0.0,1
F01,factorial,random_RS,1,1204,60,43,18.0,16.0,60,0.0743613345570827,0.0743613345570827,0.0,1
F01,factorial,GP_BO,1,1204,60,43,18.0,16.0,60,0.0743613345570827,0.0743613345570827,0.0,1
F01,factorial,random_RS,2,1204,60,44,18.0,18.0,60,0.0739690872113021,0.0743613345570827,0.0,0
F01,factorial,GP_BO,2,1204,60,43,18.0,16.0,60,0.0743613345570827,0.0743613345570827,0.0,1
F01,factorial,random_RS,3,1204,60,51,20.0,14.0,60,0.0742646284200493,0.0743613345570827,0.0,0
F01,factorial,GP_BO,3,1204,60,43,18.0,16.0,60,0.0743613345570827,0.0743613345570827,0.0,1
F01,factorial,random_RS,4,1204,60,43,18.0,16.0,60,0.0743613345570827,0.0743613345570827,0.0,1
F01,factorial,GP_BO,4,1204,60,43,18.0,16.0,60,0.0743613345570827,0.0743613345570827,0.0,1
F03,factorial,diffusion_topk,0,1400,70,23,14.0,6.0,70,0.2312412096906076,0.2312412096906076,0.0,1
F03,factorial,high_fidelity_local_search,0,1400,70,34,16.0,14.0,70,0.2411727182162991,0.2312412096906076,0.04294869646711975,0
