scenario_id,method,budget_policies,median_regret,p90_seed_regret,success_1,success_5,exact
F01,GP_BO,12,0.0,0.0055752030945828545,1.0,1.0,0.0
F01,GP_BO,20,0.0,0.0,1.0,1.0,0.2
F01,GP_BO,30,0.0,0.0,1.0,1.0,0.2
F01,GP_BO,44,0.0,0.0,1.0,1.0,1.0
F01,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
F01,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
F01,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
F01,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
F03,GP_BO,12,0.04294869646711975,0.0784907191246727,0.0,0.6,0.0
F03,GP_BO,20,0.04294869646711975,0.07219697300533622,0.4,0.6,0.0
F03,GP_BO,30,0.0,0.06049766239004963,0.6,0.8,0.6
F03,GP_BO,44,0.0,0.04294869646711975,0.6,1.0,0.6
F03,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
F03,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
F03,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
F03,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
F04,GP_BO,12,0.016142321244504772,0.016142321244504772,0.2,1.0,0.0
F04,GP_BO,20,0.0024116989837357082,0.012249825141597163,0.8,1.0,0.4
F04,GP_BO,30,0.0,0.010650072340197148,0.8,1.0,0.6
F04,GP_BO,44,0.0,0.0,1.0,1.0,1.0
F04,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
F04,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
F04,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
F04,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
F06,GP_BO,12,0.0,0.0,1.0,1.0,0.0
F06,GP_BO,20,0.0,0.0,1.0,1.0,1.0
F06,GP_BO,30,0.0,0.0,1.0,1.0,1.0
F06,GP_BO,44,0.0,0.0,1.0,1.0,1.0
F06,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,1.0
F06,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,1.0
F06,diffusion_residual_GP,30,0.0,0.0,1.0,1.0,1.0
F06,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
F07,GP_BO,12,0.0,0.011422323464503854,0.6,1.0,0.0
F07,GP_BO,20,0.011422323464503854,0.011422323464503854,0.2,1.0,0.0
F07,GP_BO,30,0.0,0.0,1.0,1.0,1.0
F07,GP_BO,44,0.0,0.0,1.0,1.0,1.0
F07,diffusion_residual_GP,12,0.0,0.0,1.0,1.0,0.0
F07,diffusion_residual_GP,20,0.0,0.0,1.0,1.0,0.0
F07,diffusion_residual_GP,30,0.011422323464503854,0.011422323464503854,0.0,1.0,0.0
F07,diffusion_residual_GP,44,0.0,0.0,1.0,1.0,1.0
F09,GP_BO,12,0.0,0.0,1.0,1.0,0.2
F09,GP_BO,20,0.0,0.0,1.0,1.0,1.0
