scenario_id,method,budget_policies,seed,selected_idx,regret,exact
F01,GP_BO,12,0,50,0.0003920591928702312,0
F01,diffusion_residual_GP,12,0,43,0.0,1
F01,GP_BO,12,1,44,0.0,0
F01,diffusion_residual_GP,12,1,43,0.0,1
F01,GP_BO,12,2,44,0.0,0
F01,diffusion_residual_GP,12,2,43,0.0,1
F01,GP_BO,12,3,41,0.0,0
F01,diffusion_residual_GP,12,3,43,0.0,1
F01,GP_BO,12,4,54,0.00903063236239127,0
F01,diffusion_residual_GP,12,4,43,0.0,1
F01,GP_BO,20,0,43,0.0,1
F01,diffusion_residual_GP,20,0,43,0.0,1
F01,GP_BO,20,1,44,0.0,0
F01,diffusion_residual_GP,20,1,43,0.0,1
F01,GP_BO,20,2,44,0.0,0
F01,diffusion_residual_GP,20,2,43,0.0,1
F01,GP_BO,20,3,41,0.0,0
F01,diffusion_residual_GP,20,3,43,0.0,1
F01,GP_BO,20,4,51,0.0,0
F01,diffusion_residual_GP,20,4,43,0.0,1
F01,GP_BO,30,0,43,0.0,1
F01,diffusion_residual_GP,30,0,43,0.0,1
F01,GP_BO,30,1,44,0.0,0
F01,diffusion_residual_GP,30,1,43,0.0,1
F01,GP_BO,30,2,44,0.0,0
F01,diffusion_residual_GP,30,2,43,0.0,1
F01,GP_BO,30,3,44,0.0,0
F01,diffusion_residual_GP,30,3,43,0.0,1
F01,GP_BO,30,4,44,0.0,0
F01,diffusion_residual_GP,30,4,43,0.0,1
F01,GP_BO,44,0,43,0.0,1
F01,diffusion_residual_GP,44,0,43,0.0,1
F01,GP_BO,44,1,43,0.0,1
F01,diffusion_residual_GP,44,1,43,0.0,1
F01,GP_BO,44,2,43,0.0,1
F01,diffusion_residual_GP,44,2,43,0.0,1
F01,GP_BO,44,3,43,0.0,1
F01,diffusion_residual_GP,44,3,43,0.0,1
F01,GP_BO,44,4,43,0.0,1
F01,diffusion_residual_GP,44,4,43,0.0,1
F03,GP_BO,12,0,34,0.04294869646711975,0
F03,diffusion_residual_GP,12,0,23,0.0,1
F03,GP_BO,12,1,44,0.0389263402910814,0
F03,diffusion_residual_GP,12,1,23,0.0,1
F03,GP_BO,12,2,29,0.04204317952809247,0
F03,diffusion_residual_GP,12,2,23,0.0,1
F03,GP_BO,12,3,54,0.08268654987089702,0
F03,diffusion_residual_GP,12,3,23,0.0,1
F03,GP_BO,12,4,35,0.07219697300533622,0
F03,diffusion_residual_GP,12,4,23,0.0,1
F03,GP_BO,20,0,34,0.04294869646711975,0
F03,diffusion_residual_GP,20,0,23,0.0,1
F03,GP_BO,20,1,35,0.07219697300533622,0
F03,diffusion_residual_GP,20,1,23,0.0,1
F03,GP_BO,20,2,24,0.0,0
F03,diffusion_residual_GP,20,2,23,0.0,1
F03,GP_BO,20,3,24,0.0,0
F03,diffusion_residual_GP,20,3,23,0.0,1
F03,GP_BO,20,4,35,0.07219697300533622,0
F03,diffusion_residual_GP,20,4,23,0.0,1
F03,GP_BO,30,0,34,0.04294869646711975,0
F03,diffusion_residual_GP,30,0,23,0.0,1
F03,GP_BO,30,1,23,0.0,1
F03,diffusion_residual_GP,30,1,23,0.0,1
F03,GP_BO,30,2,23,0.0,1
F03,diffusion_residual_GP,30,2,23,0.0,1
F03,GP_BO,30,3,23,0.0,1
F03,diffusion_residual_GP,30,3,23,0.0,1
F03,GP_BO,30,4,35,0.07219697300533622,0
F03,diffusion_residual_GP,30,4,23,0.0,1
