scenario_id,policy_idx,alpha_on,alpha_off,norm_W,norm_BH,norm_BL,norm_cloud
F01,0,2.0,2.0,0.0,0.0,0.0,1.0
F01,1,4.0,2.0,0.03867690319102945,0.004231408796818932,0.0022221526436071565,0.8086332608463621
F01,2,4.0,4.0,0.044812797203817464,0.013134137961360974,0.007312990594837851,0.7696898384173152
F01,3,6.0,2.0,0.08401289600740593,0.017313714006116344,0.003492458618261608,0.6161286315951604
F01,4,6.0,4.0,0.08307304151354993,0.008527597257074967,0.008181029529164696,0.5838703413924369
F01,5,6.0,6.0,0.09356990411457733,0.017928661480919185,0.008678413403997371,0.5599769694547815
F01,6,8.0,2.0,0.11967483708894572,0.020621165981184335,0.013457591894887398,0.4502276415116834
F01,7,8.0,4.0,0.1299752840743635,0.01401214796084484,0.01470419966301721,0.4124091996475179
F01,8,8.0,6.0,0.1359111607426126,0.02214599510252186,0.02382915179896091,0.3973994510810069
F01,9,8.0,8.0,0.1435086861414198,0.024935530173094512,0.016487415987660275,0.39038030341278007
F01,10,10.0,2.0,0.1691331072687503,0.02868948279923801,0.02590058304258829,0.3244879509805216
F01,11,10.0,4.0,0.17181131043795325,0.027700287345227375,0.006478671565425079,0.29894167853483977
F01,12,10.0,6.0,0.17446400987594077,0.02259477724917305,0.021699355996290446,0.28705831205656884
F01,13,10.0,8.0,0.17858874769593294,0.023961138681476857,0.01730889132598406,0.27856115096977657
F01,14,10.0,10.0,0.1801346139955203,0.029156941088433752,0.01548882199562937,0.267470180542542
F01,15,12.0,2.0,0.20577572783304407,0.04046906882677384,0.03503225992557236,0.2323126858547361
F01,17,12.0,6.0,0.20815429607139582,0.04331946727476959,0.025144045981702712,0.20528649628945167
F01,18,12.0,8.0,0.2143266205662031,0.03381928530890835,0.024742575269739678,0.19803983051221763
F01,19,12.0,10.0,0.2310229930940393,0.052058467659767085,0.03381035478275735,0.19167098052387113
F01,20,12.0,12.0,0.23196211048024784,0.031008940020831776,0.01732678924623228,0.18399710077830822
F01,21,14.0,2.0,0.2417965986159935,0.032353443097868584,0.03066832857092604,0.16883138869083528
F01,23,14.0,6.0,0.24967336521041944,0.04335465740064039,0.032473630019662254,0.14827473942850036
F01,24,14.0,8.0,0.25467154699416017,0.05267666080023387,0.03379544398769887,0.1419549399005461
F01,25,14.0,10.0,0.2582286500578483,0.050747030263126505,0.04753666794303955,0.13514423716430807
F01,26,14.0,12.0,0.25677412285094925,0.052823568550895136,0.04183803285043652,0.1329271227724572
F01,27,14.0,14.0,0.2643777044675374,0.05366984305697099,0.03453692324659699,0.13323629067358575
F01,30,16.0,6.0,0.2878324176334366,0.05272171539094688,0.033741923877964326,0.11168580027207563
F01,31,16.0,8.0,0.29524937063390655,0.06919743555940353,0.0497223263511658,0.10625483182709611
F01,32,16.0,10.0,0.29688056672730617,0.07060329053862345,0.04890007197152527,0.09806698335041854
F01,34,16.0,14.0,0.30325775896941887,0.048424887295695065,0.035056845566929444,0.09125968383989473
F01,35,16.0,16.0,0.3093345097184637,0.0643654595674066,0.04366800053286963,0.08916496056224082
F01,38,18.0,6.0,0.3321126314496706,0.07636678277437396,0.05890652626456398,0.08379401173259134
F01,40,18.0,10.0,0.33669907991116155,0.06825162532145647,0.05535003399243395,0.07483848381291243
F01,41,18.0,12.0,0.33544537056447304,0.07565867666698299,0.06491084315163066,0.07167398352313492
F01,42,18.0,14.0,0.34129615794143164,0.07347880301265176,0.06265269010107237,0.06874002907255945
F01,43,18.0,16.0,0.35068015601567004,0.09458752161213578,0.06994882225250078,0.06381569629572126
F01,44,18.0,18.0,0.35475045443198105,0.09173774513141345,0.07309489671874143,0.060699885049523984
F01,45,20.0,2.0,0.36596605259557324,0.08598708583758521,0.05454376831707719,0.07469939351275508
F01,47,20.0,6.0,0.3707706598625573,0.08230325128587444,0.0605819439467544,0.06510141808209194
F01,48,20.0,8.0,0.377590365960014,0.09083055869850203,0.0738439049314633,0.060257077334981736
F01,50,20.0,12.0,0.37754808268877166,0.09643238319803082,0.07523279848355112,0.05377950655127247
F01,51,20.0,14.0,0.38431044263656455,0.09777231905820534,0.06828698033193344,0.05033508078916783
F01,52,20.0,16.0,0.3937686908408673,0.112374489577558,0.08256823682186432,0.046570124907075704
F01,53,20.0,18.0,0.3971924910339693,0.10161399866470366,0.08385511245093184,0.0451767990413983
F01,54,20.0,20.0,0.40317279189108923,0.10572877365064606,0.07998439121606507,0.04499308690709766
F01,60,22.0,12.0,0.41376980339693203,0.11294638399782789,0.09481913849286148,0.04256351598937735
F01,61,22.0,14.0,0.4185297871671694,0.09921057386108151,0.0926042532730158,0.04012874851072951
F01,62,22.0,16.0,0.4254977709037983,0.10522848657275974,0.08570670664173723,0.037835053634374616
F01,63,22.0,18.0,0.43361764633234373,0.11562176801374786,0.10250918333034362,0.03258559720043779
F01,64,22.0,20.0,0.4364444357259227,0.10999609000105619,0.09604953408399915,0.0330242533363456
F01,65,22.0,22.0,0.45026751862775594,0.12180045478456819,0.09891666449017786,0.028437411352537564
F01,73,24.0,16.0,0.4677616684496308,0.1316944362550494,0.09730708728812532,0.02974560198281338
F01,74,24.0,18.0,0.47353427580478075,0.1617646080099566,0.12975804585871406,0.025418646227938966
F01,75,24.0,20.0,0.4819248825150136,0.14624949978172486,0.11984693590296466,0.025589366215813703
F01,76,24.0,22.0,0.49708317877073416,0.14944867688747515,0.12459602143117372,0.023884379678910543
F01,77,24.0,24.0,0.5042171811734599,0.17589828846873828,0.14354439295927907,0.0214747222450727
F01,86,26.0,18.0,0.5163963715657357,0.16418915784241445,0.1491380039745089,0.02143521372581575
F01,87,26.0,20.0,0.5214531695306445,0.184300026377649,0.14198953500207373,0.01967892122031712
F01,88,26.0,22.0,0.5392510051459011,0.19665931773755985,0.164790043457298,0.01875626875771725
F01,89,26.0,24.0,0.5461346447171632,0.19564103299839583,0.1497381346366255,0.017203105814596956
F01,90,26.0,26.0,0.5560148568122781,0.1980914237371436,0.1469685743001482,0.015612422726441257
F01,102,28.0,24.0,0.5874005149767214,0.23000230198877317,0.19249677364053439,0.013065346461297984
F01,103,28.0,26.0,0.6017313741127729,0.2487485747715664,0.2127058861777473,0.010564552962505084
F01,116,30.0,24.0,0.6406041897727925,0.3027886552153226,0.2387276665476964,0.009765137248920475
F01,117,30.0,26.0,0.6596402928912187,0.2967386857431967,0.26252525516936476,0.009871912956640154
F01,118,30.0,28.0,0.662933389488103,0.31093888698127126,0.265214114686168,0.009515952555282408
F01,119,30.0,30.0,0.6934366588254007,0.3532694766188358,0.30145379720215904,0.009058696117021587
F01,133,32.0,28.0,0.7176858778534723,0.40270521739882026,0.3164399065272718,0.0072287818970369665
F01,135,32.0,32.0,0.7450826233297806,0.4244834739723008,0.378105523174847,0.006592780344760914
F01,149,34.0,28.0,0.7751096685773614,0.4912194062037476,0.4495561830375559,0.006111918971226983
F01,151,34.0,32.0,0.8049221370532945,0.5521715089870899,0.4986109103236487,0.005920393867189649
F01,152,34.0,34.0,0.8290418991203562,0.5933453934064982,0.5486558483257403,0.0050941887167766505
F01,165,36.0,26.0,0.7845933087575692,0.526472085382028,0.5046142176043337,0.005554219336191106
F01,166,36.0,28.0,0.8192130459689786,0.5722155839785071,0.5530297709995633,0.004559729246171571
F01,169,36.0,34.0,0.8929444915352021,0.7094413886303799,0.6827396468920722,0.003590415435582568
F01,182,38.0,24.0,0.8153927386851627,0.6356599846846032,0.6311837718443971,0.004600722994199994
F01,183,38.0,26.0,0.8326945104507253,0.6656190433631466,0.6221283219030694,0.00435543633765406
F01,185,38.0,30.0,0.8842491088358878,0.7318296579230159,0.6973103684760025,0.0028462731099577997
F01,186,38.0,32.0,0.9408051290034622,0.8211841358056837,0.8176972842610596,0.002837050520274999
F01,187,38.0,34.0,0.9509166647565317,0.8420725447671308,0.8425401763851215,0.0014436240107404657
F01,188,38.0,36.0,0.9660340730566174,0.9204231620876908,0.8976207160153371,0.0011396659853249677
F01,189,38.0,38.0,1.0,1.0,1.0,0.0
F03,3,6.0,2.0,0.02757341798697715,0.0,0.042419711869797636,0.9212294756759917
F03,5,6.0,6.0,0.0,0.004789107036889062,0.0,0.8377294981986764
F03,6,8.0,2.0,0.025047122712845923,0.0430122133371146,0.053533162949385205,0.7816938998508384
F03,7,8.0,4.0,0.08526374148162683,0.051798944872251215,0.06004588040874362,0.7267942474489905
F03,8,8.0,6.0,0.11819912992008869,0.0739419091393885,0.08923959401801612,0.7024644041853492
F03,9,8.0,8.0,0.10478580283819437,0.08386304198969614,0.07367621496374797,0.6753182384015846
F03,15,12.0,2.0,0.0922492201567795,0.1013461916142358,0.09846788294355158,0.5560067709376983
F03,20,12.0,12.0,0.09955973106134892,0.11128896540197653,0.13873138721048064,0.45576628433868543
F03,24,14.0,8.0,0.10164754532146794,0.08757883352013028,0.10781144672431642,0.39694689261423055
F03,26,14.0,12.0,0.16207056543260975,0.15640434442763781,0.17594036524768147,0.38287449399612566
F03,30,16.0,6.0,0.17001488409293716,0.1647643444495684,0.17913685284518477,0.3216592631876324
F03,31,16.0,8.0,0.19171574998283925,0.18026987819394055,0.18635338925167477,0.3061737491047184
F03,32,16.0,10.0,0.19021976333854052,0.18928938578269183,0.18789899851487213,0.300166865960475
F03,43,18.0,16.0,0.2070515555985302,0.1791668153846913,0.18254803605054287,0.24017819129503992
F03,46,20.0,4.0,0.18953595633476236,0.2084650181593744,0.20557068206655343,0.22085126480428785
F03,53,20.0,18.0,0.22375494745036137,0.21470825294629411,0.19154972402656756,0.16691840868156854
F03,57,22.0,6.0,0.23175813186505068,0.23803452374754014,0.24658780137969383,0.1637519962751836
F03,59,22.0,10.0,0.26335534440314096,0.25276549752263916,0.2464197857413582,0.1447112537749335
F03,68,24.0,6.0,0.2609836714496075,0.2654256098852007,0.25193911147454484,0.14939407176955333
F03,74,24.0,18.0,0.26409352710906,0.23145008183854415,0.21990484209449382,0.10925170142802283
F03,75,24.0,20.0,0.34317460030677066,0.3372711295115447,0.3297962092083753,0.09673963649085515
F03,83,26.0,12.0,0.33432888849219,0.3179001753492069,0.3243617251959923,0.10609036990784776
F03,86,26.0,18.0,0.3467583968109752,0.3388177779445925,0.3574990002412258,0.08172593274075882
F03,93,28.0,6.0,0.3534298453519595,0.3274955955676914,0.3451151500971585,0.10264625633813734
F03,94,28.0,8.0,0.3542952848083603,0.3246403408311444,0.32727267378245606,0.10106014656676533
F03,96,28.0,12.0,0.3995835140007119,0.4082033836799861,0.416922805321348,0.07739020136619738
F03,98,28.0,16.0,0.36456271834579623,0.30415711134130585,0.32544602924046706,0.0900255243656383
F03,99,28.0,18.0,0.40761429383398534,0.3597606678028029,0.3937162887828626,0.07695608538779726
F03,100,28.0,20.0,0.4442602063453703,0.4024802105617349,0.3963491849090976,0.06101899011428908
F03,101,28.0,22.0,0.42045024723912433,0.38739554199506904,0.4106000264680031,0.07502101654651792
F03,102,28.0,24.0,0.48754155270409183,0.4799719427406323,0.4479513010424174,0.053028893682412585
F03,111,30.0,14.0,0.43365684421045847,0.41542698552649576,0.416307512661451,0.07318446888686422
F03,115,30.0,22.0,0.48050070640215636,0.43589207007138797,0.4561802724010027,0.0486010197939448
F03,116,30.0,24.0,0.4929402029614031,0.4654637885848736,0.44844435621817663,0.05426653050216668
F03,117,30.0,26.0,0.5308986274133838,0.487764810282481,0.4891144935328548,0.039380806648488344
F03,123,32.0,8.0,0.4215164794694651,0.4144525892423325,0.400405843538829,0.07459056356232915
F03,125,32.0,12.0,0.43266299483348386,0.4387909960890741,0.39484570003741104,0.0662269040317245
F03,127,32.0,16.0,0.40898428973815915,0.41110584869119904,0.4094547726761143,0.07475422028935863
F03,130,32.0,22.0,0.4869291931614382,0.4564041471086738,0.4976908266984712,0.04203456702109272
F03,134,32.0,30.0,0.6872635316279596,0.6614045250490962,0.6758426595420707,0.021952336968074727
F03,146,34.0,22.0,0.496289253253256,0.45351658759770613,0.44174562812427093,0.04179918781828672
F03,147,34.0,24.0,0.6196884893026894,0.5606734542556939,0.539432348545046,0.031013060826050275
F03,149,34.0,28.0,0.7047978170022132,0.6499477047938041,0.6334876483247247,0.027746160443894014
F03,150,34.0,30.0,0.7670999549437103,0.7251348878634958,0.7192059218187887,0.01899401576963398
