scenario_id,design,policy_count,pareto_count,pareto_fraction,distinct_optima_287,equal_weight_idx,robust_idx,robust_is_pareto,robust_differs_from_equal,equal_weight_max_normalized_regret,robust_max_normalized_regret,max_regret_reduction,robust_equal_weight_penalty,equal_profile_fraction_regret_gt_5pct,robust_profile_fraction_regret_gt_5pct,equal_alpha_on,equal_alpha_off,robust_alpha_on,robust_alpha_off
F01,factorial,190,82,0.431578947368421,24,20,17,1,1,0.2319621104802478,0.2081542960713958,0.1026366519926939,0.0044023412729249,0.2787456445993031,0.3344947735191638,12.0,12.0,12.0,6.0
F03,factorial,190,50,0.2631578947368421,9,24,46,1,1,0.3969468926142305,0.2208512648042878,0.4436251576381018,0.0326095507962082,0.445993031358885,0.5679442508710801,14.0,8.0,20.0,4.0
F04,factorial,190,99,0.5210526315789473,18,13,35,1,1,0.5275763032891996,0.2984358715103242,0.4343266184441728,0.0149337739133147,0.4878048780487805,0.5017421602787456,10.0,8.0,16.0,16.0
F06,factorial,190,62,0.3263157894736842,13,7,73,1,1,0.8891492124211677,0.3456571547361305,0.611249551922899,0.1013398006885142,0.2125435540069686,0.7770034843205574,8.0,4.0,24.0,16.0
F07,factorial,190,102,0.5368421052631579,25,20,33,1,1,0.4437615155094092,0.3326257225054235,0.2504403584353389,0.0154132848128642,0.5052264808362369,0.5331010452961672,12.0,12.0,16.0,12.0
F09,factorial,190,82,0.431578947368421,13,6,73,1,1,0.9152499163913116,0.3612177104345291,0.6053343420573536,0.118861530728532,0.2020905923344947,0.7770034843205574,8.0,2.0,24.0,16.0
F10,factorial,190,113,0.5947368421052631,23,0,43,1,1,1.0,0.4401651709710845,0.5598348290289155,0.0957038856319194,0.2439024390243902,0.7247386759581882,2.0,2.0,18.0,16.0
F12,factorial,190,110,0.5789473684210527,13,0,44,1,1,1.0,0.4621453991274802,0.5378546008725198,0.1842708992560998,0.1951219512195122,0.8257839721254355,2.0,2.0,18.0,18.0
F27,factorial,190,101,0.531578947368421,7,0,131,1,1,0.9886418003168308,0.5125971456828631,0.4815137843467769,0.2368268154340938,0.1219512195121951,0.940766550522648,2.0,2.0,32.0,24.0
F28,factorial,190,119,0.6263157894736842,17,9,64,1,1,0.7380670652676805,0.4335099061838507,0.4126415788155696,0.1039341718816739,0.4529616724738676,0.7909407665505227,8.0,8.0,22.0,20.0
F31,factorial,190,128,0.6736842105263158,18,2,124,1,1,0.9119066365532628,0.4815352592039723,0.4719467543036718,0.1452452598868375,0.2020905923344947,0.8745644599303136,4.0,4.0,32.0,10.0
F36,factorial,190,155,0.8157894736842105,12,1,74,1,1,1.0,0.4901096829275679,0.509890317072432,0.2183402346787027,0.1219512195121951,0.926829268292683,4.0,2.0,24.0,18.0
R03,lhs,190,116,0.6105263157894737,12,1,166,1,1,0.986880167055075,0.6217062051141409,0.3700286763596038,0.2882018272214227,0.1219512195121951,0.9860627177700348,7.059748964826046,3.529874482413023,63.53774068343441,49.41824275378232
R06,lhs,190,153,0.8052631578947368,17,0,140,1,1,1.0,0.4812138398810952,0.5187861601189048,0.2099723842147427,0.1428571428571428,0.926829268292683,3.3242412372975574,3.3242412372975574,56.51210103405847,16.621206186487786
R07,lhs,190,128,0.6736842105263158,14,1,71,1,1,0.9765050426596148,0.4518259097747037,0.5373030450061906,0.1919943987304194,0.1951219512195122,0.8745644599303136,4.6098822108503,2.3049411054251503,27.6592932651018,13.8296466325509
R08,lhs,190,145,0.7631578947368421,12,0,72,1,1,1.0,0.5005939819418853,0.4994060180581147,0.2054121390007296,0.1358885017421602,0.902439024390244,3.952109770314976,3.952109770314976,47.42531724377972,27.664768392204834
R12,lhs,190,118,0.6210526315789474,11,1,84,1,1,0.9722499608778792,0.4382672571325836,0.5492236824192243,0.1722025818503385,0.1951219512195122,0.7770034843205574,3.301735138523294,1.6508675692616472,21.461278400401408,11.556072984831529
R13,lhs,190,112,0.5894736842105263,12,0,82,1,1,1.0,0.4315148156234508,0.5684851843765492,0.1583118009371525,0.1951219512195122,0.794425087108014,3.625570981185583,3.625570981185583,47.13242275541257,18.12785490592791
R17,lhs,190,88,0.4631578947368421,14,1,49,1,1,0.9684866253580195,0.3833332118924248,0.6041935925024072,0.1022345131552119,0.2195121951219512,0.7247386759581882,4.02317973189763,2.011589865948815,20.11589865948815,10.057949329744076
R18,lhs,190,159,0.8368421052631579,13,0,77,1,1,1.0,0.4991415131999651,0.5008584868000349,0.2182709277926684,0.1324041811846689,0.9198606271777005,3.827295598473859,3.827295598473859,45.9275471816863,45.9275471816863
R20,lhs,190,116,0.6105263157894737,12,0,61,1,1,1.0,0.4481051206872035,0.5518948793127965,0.1719916096897675,0.1951219512195122,0.7804878048780488,3.116994806255219,3.116994806255219,34.28694286880741,21.81896364378653
R22,lhs,190,163,0.8578947368421053,10,0,83,1,1,1.0,0.505661558610706,0.4943384413892939,0.2053282333313395,0.1289198606271777,0.9059233449477352,1.5944637439382392,1.5944637439382392,20.72802867119711,9.566782463629435
R23,lhs,190,94,0.4947368421052631,24,4,39,1,1,0.7936123237555783,0.3589348026843145,0.5477202256818009,0.0449628945187619,0.4878048780487805,0.6515679442508711,8.181916080702644,5.454610720468429,24.54574824210793,10.909221440936856
R24,lhs,190,126,0.6631578947368421,9,0,62,1,1,1.0,0.4737446498819601,0.5262553501180398,0.2025237014060122,0.1393728222996515,0.9198606271777005,3.2113378711648,3.2113378711648,35.32471658281279,25.690702969318394
T01,frozen_fresh59,190,123,0.6473684210526316,9,1,73,1,1,0.9869214586731676,0.4821727099763491,0.5114376065704463,0.1981200144528301,0.1428571428571428,0.8989547038327527,5.838636996685231,2.919318498342616,35.03182198011139,23.35454798674092
T02,frozen_fresh59,190,129,0.6789473684210526,10,0,53,1,1,1.0,0.465502175776221,0.534497824223779,0.1834582814673771,0.1777003484320557,0.8571428571428571,2.9683981973699867,2.9683981973699867,29.683981973699865,26.71558377632988
T03,frozen_fresh59,190,114,0.6,6,0,70,1,1,1.0,0.4806209343025008,0.5193790656974991,0.2096124123083008,0.1219512195121951,0.926829268292683,2.4257880399315024,2.4257880399315024,29.10945647917802,12.12894019965751
T04,frozen_fresh59,190,125,0.6578947368421053,14,0,62,1,1,1.0,0.4753083451033008,0.5246916548966991,0.1581092806539109,0.181184668989547,0.8048780487804879,3.272549463298222,3.272549463298222,35.99804409628044,26.180395706385774
T05,frozen_fresh59,190,152,0.8,8,0,99,1,1,1.0,0.5019550078210562,0.4980449921789438,0.2225369978482834,0.1254355400696864,0.9233449477351916,1.533912770766838,1.533912770766838,21.474778790735726,13.80521493690154
