scenario_id,budget,seed,method,selected_idx,regret_vs_exhaustive_training_workflow,exact_training_policy_recovery
F01,12,0,standard_GP,50,0.0003920591928702312,0
F01,12,0,guarded_GP,43,0.0,1
F01,12,0,residual_GP,43,0.0,1
F01,12,0,DR_BGS,43,0.0,1
F01,12,1,standard_GP,44,0.0,0
F01,12,1,guarded_GP,43,0.0,1
F01,12,1,residual_GP,44,0.0,0
F01,12,1,DR_BGS,43,0.0,1
F01,12,2,standard_GP,44,0.0,0
F01,12,2,guarded_GP,43,0.0,1
F01,12,2,residual_GP,44,0.0,0
F01,12,2,DR_BGS,43,0.0,1
F01,12,3,standard_GP,41,0.0,0
F01,12,3,guarded_GP,43,0.0,1
F01,12,3,residual_GP,50,0.0003920591928702312,0
F01,12,3,DR_BGS,43,0.0,1
F01,12,4,standard_GP,54,0.00903063236239127,0
F01,12,4,guarded_GP,43,0.0,1
F01,12,4,residual_GP,47,0.001125705385852584,0
F01,12,4,DR_BGS,43,0.0,1
F01,20,0,standard_GP,43,0.0,1
F01,20,0,guarded_GP,43,0.0,1
F01,20,0,residual_GP,43,0.0,1
F01,20,0,DR_BGS,43,0.0,1
F01,20,1,standard_GP,44,0.0,0
F01,20,1,guarded_GP,43,0.0,1
F01,20,1,residual_GP,43,0.0,1
F01,20,1,DR_BGS,43,0.0,1
F01,20,2,standard_GP,44,0.0,0
F01,20,2,guarded_GP,43,0.0,1
F01,20,2,residual_GP,44,0.0,0
F01,20,2,DR_BGS,43,0.0,1
F01,20,3,standard_GP,41,0.0,0
F01,20,3,guarded_GP,43,0.0,1
F01,20,3,residual_GP,44,0.0,0
F01,20,3,DR_BGS,43,0.0,1
F01,20,4,standard_GP,51,0.0,0
F01,20,4,guarded_GP,43,0.0,1
F01,20,4,residual_GP,44,0.0,0
F01,20,4,DR_BGS,43,0.0,1
F03,12,0,standard_GP,34,0.04294869646711975,0
F03,12,0,guarded_GP,23,0.0,1
F03,12,0,residual_GP,24,0.0,0
F03,12,0,DR_BGS,23,0.0,1
F03,12,1,standard_GP,44,0.0389263402910814,0
F03,12,1,guarded_GP,23,0.0,1
F03,12,1,residual_GP,44,0.0389263402910814,0
F03,12,1,DR_BGS,23,0.0,1
F03,12,2,standard_GP,29,0.04204317952809247,0
F03,12,2,guarded_GP,23,0.0,1
F03,12,2,residual_GP,16,0.040493727531153045,0
F03,12,2,DR_BGS,23,0.0,1
F03,12,3,standard_GP,54,0.08268654987089702,0
F03,12,3,guarded_GP,23,0.0,1
F03,12,3,residual_GP,16,0.040493727531153045,0
F03,12,3,DR_BGS,23,0.0,1
F03,12,4,standard_GP,35,0.07219697300533622,0
F03,12,4,guarded_GP,23,0.0,1
F03,12,4,residual_GP,35,0.07219697300533622,0
F03,12,4,DR_BGS,23,0.0,1
F03,20,0,standard_GP,34,0.04294869646711975,0
F03,20,0,guarded_GP,23,0.0,1
F03,20,0,residual_GP,24,0.0,0
