scenario_id,seed,selected_idx,reference_idx,regret,exact,training_replications,shortlist_size
F01,20261001,51,43,0.0,0,400,10
F01,20261002,41,43,0.0,0,400,10
F01,20261003,40,43,0.0,0,400,10
F01,20261004,35,43,0.0,0,400,10
F01,20261005,43,43,0.0,1,400,10
F03,20261001,16,23,0.040493727531153045,0,400,10
F03,20261002,32,23,0.012019552180850249,0,400,10
F03,20261003,19,23,0.023610089747662974,0,400,10
F03,20261004,37,23,0.037044604927574644,0,400,10
F03,20261005,81,23,0.07650438510519929,0,400,10
F04,20261001,7,12,0.015625219692173214,0,400,10
F04,20261002,5,12,0.01973057138222482,0,400,10
F04,20261003,1,12,0.025791341596657767,0,400,10
F04,20261004,7,12,0.015625219692173214,0,400,10
F04,20261005,23,12,0.02910240405144846,0,400,10
F06,20261001,7,1,0.0,0,400,10
F06,20261002,2,1,0.0,0,400,10
F06,20261003,0,1,0.0,0,400,10
F06,20261004,7,1,0.0,0,400,10
F06,20261005,32,1,0.02689934680330696,0,400,10
F07,20261001,2,1,0.0,0,400,10
F07,20261002,8,1,0.0,0,400,10
F07,20261003,2,1,0.0,0,400,10
F07,20261004,2,1,0.0,0,400,10
F07,20261005,18,1,0.027758767232574536,0,400,10
F09,20261001,6,3,0.0,0,400,10
F09,20261002,14,3,0.012001266217719516,0,400,10
F09,20261003,6,3,0.0,0,400,10
F09,20261004,17,3,0.0021612989854716395,0,400,10
F09,20261005,0,3,0.0,0,400,10
