scenario_id,seed,selected_idx,reference_idx,regret,exact,training_replications,shortlist_size
F01,20261001,51,43,0.0,0,400,10
F01,20261002,41,43,0.0,0,400,10
F01,20261003,40,43,0.0,0,400,10
F01,20261004,35,43,0.0,0,400,10
F01,20261005,43,43,0.0,1,400,10
F03,20261001,16,23,0.040493727531153,0,400,10
F03,20261002,32,23,0.0120195521808502,0,400,10
F03,20261003,19,23,0.0236100897476629,0,400,10
F03,20261004,37,23,0.0370446049275746,0,400,10
F03,20261005,81,23,0.0765043851051992,0,400,10
F04,20261001,7,12,0.0156252196921732,0,400,10
F04,20261002,5,12,0.0197305713822248,0,400,10
F04,20261003,1,12,0.0257913415966577,0,400,10
F04,20261004,7,12,0.0156252196921732,0,400,10
F04,20261005,23,12,0.0291024040514484,0,400,10
F06,20261001,7,1,0.0,0,400,10
F06,20261002,2,1,0.0,0,400,10
F06,20261003,0,1,0.0,0,400,10
F06,20261004,7,1,0.0,0,400,10
F06,20261005,32,1,0.0268993468033069,0,400,10
F07,20261001,2,1,0.0,0,400,10
F07,20261002,8,1,0.0,0,400,10
F07,20261003,2,1,0.0,0,400,10
F07,20261004,2,1,0.0,0,400,10
F07,20261005,18,1,0.0277587672325745,0,400,10
F09,20261001,6,3,0.0,0,400,10
F09,20261002,14,3,0.0120012662177195,0,400,10
F09,20261003,6,3,0.0,0,400,10
F09,20261004,17,3,0.0021612989854716,0,400,10
F09,20261005,0,3,0.0,0,400,10
F10,20261001,2,1,0.0046117149410866,0,400,10
F10,20261002,0,1,0.0,0,400,10
F10,20261003,0,1,0.0,0,400,10
F10,20261004,3,1,0.0209747745182922,0,400,10
F10,20261005,2,1,0.0046117149410866,0,400,10
F12,20261001,10,3,0.0,0,400,10
F12,20261002,2,3,0.0,0,400,10
F12,20261003,4,3,0.0,0,400,10
F12,20261004,29,3,0.0107063120473162,0,400,10
F12,20261005,13,3,0.0245073957213635,0,400,10
F27,20261001,4,0,0.0317456334801069,0,400,10
F27,20261002,31,0,0.0668122605756839,0,400,10
F27,20261003,0,0,0.0,1,400,10
F27,20261004,36,0,0.0317036710485264,0,400,10
F27,20261005,15,0,0.0152291083678927,0,400,10
F28,20261001,1,0,0.0385240183480667,0,400,10
F28,20261002,0,0,0.0,1,400,10
F28,20261003,0,0,0.0,1,400,10
F28,20261004,0,0,0.0,1,400,10
F28,20261005,0,0,0.0,1,400,10
F31,20261001,0,0,0.0,1,400,10
F31,20261002,0,0,0.0,1,400,10
F31,20261003,0,0,0.0,1,400,10
F31,20261004,0,0,0.0,1,400,10
F31,20261005,0,0,0.0,1,400,10
F36,20261001,15,0,0.0053019830550259,0,400,10
F36,20261002,1,0,0.0,0,400,10
F36,20261003,6,0,0.0012950632803025,0,400,10
F36,20261004,15,0,0.0053019830550259,0,400,10
F36,20261005,0,0,0.0,1,400,10
R03,20261001,2,1,0.0181260031379294,0,400,10
R03,20261002,0,1,0.0002944454713249,0,400,10
R03,20261003,1,1,0.0,1,400,10
R03,20261004,0,1,0.0002944454713249,0,400,10
R03,20261005,0,1,0.0002944454713249,0,400,10
R06,20261001,3,0,0.0152928331856606,0,400,10
R06,20261002,1,0,0.0103143998500185,0,400,10
R06,20261003,0,0,0.0,1,400,10
R06,20261004,1,0,0.0103143998500185,0,400,10
R06,20261005,2,0,0.0238796743138505,0,400,10
R07,20261001,130,146,0.0010246062487273,0,400,10
R07,20261002,168,146,0.0026672466883153,0,400,10
R07,20261003,181,146,0.0005496556513014,0,400,10
R07,20261004,161,146,0.0042679137486187,0,400,10
R07,20261005,151,146,0.005098904398437,0,400,10
R08,20261001,0,0,0.0,1,400,10
R08,20261002,0,0,0.0,1,400,10
R08,20261003,0,0,0.0,1,400,10
R08,20261004,0,0,0.0,1,400,10
R08,20261005,3,0,0.0147482206120009,0,400,10
R12,20261001,0,3,0.0,0,400,10
R12,20261002,0,3,0.0,0,400,10
R12,20261003,0,3,0.0,0,400,10
R12,20261004,0,3,0.0,0,400,10
R12,20261005,3,3,0.0,1,400,10
R13,20261001,0,1,0.0,0,400,10
R13,20261002,1,1,0.0,1,400,10
R13,20261003,0,1,0.0,0,400,10
R13,20261004,2,1,0.0,0,400,10
R13,20261005,1,1,0.0,1,400,10
R17,20261001,2,0,0.0191565119958161,0,400,10
R17,20261002,4,0,0.0230187753702017,0,400,10
R17,20261003,1,0,0.0,0,400,10
R17,20261004,0,0,0.0,1,400,10
R17,20261005,8,0,0.052436214363282,0,400,10
R18,20261001,3,1,0.0,0,400,10
R18,20261002,0,1,0.0,0,400,10
R18,20261003,1,1,0.0,1,400,10
R18,20261004,6,1,0.0,0,400,10
R18,20261005,7,1,0.0053444396174982,0,400,10
R20,20261001,0,0,0.0,1,400,10
R20,20261002,0,0,0.0,1,400,10
R20,20261003,3,0,0.0385125784466177,0,400,10
R20,20261004,4,0,0.0728444547076311,0,400,10
R20,20261005,0,0,0.0,1,400,10
R22,20261001,0,0,0.0,1,400,10
R22,20261002,0,0,0.0,1,400,10
R22,20261003,0,0,0.0,1,400,10
R22,20261004,0,0,0.0,1,400,10
R22,20261005,1,0,0.0132215074137498,0,400,10
R23,20261001,0,0,0.0,1,400,10
R23,20261002,2,0,0.1167003338007302,0,400,10
R23,20261003,1,0,0.0394945642257948,0,400,10
R23,20261004,3,0,0.0917857220787165,0,400,10
R23,20261005,3,0,0.0917857220787165,0,400,10
R24,20261001,1,0,0.0052776879028956,0,400,10
R24,20261002,0,0,0.0,1,400,10
R24,20261003,1,0,0.0052776879028956,0,400,10
R24,20261004,6,0,0.0278407568908335,0,400,10
R24,20261005,0,0,0.0,1,400,10
V01,20261001,163,164,0.0,0,400,10
V01,20261002,111,164,0.0046775878206376,0,400,10
V01,20261003,126,164,0.0,0,400,10
V01,20261004,118,164,0.0,0,400,10
V01,20261005,100,164,0.0,0,400,10
V02,20261001,1,0,0.0125664547542578,0,400,10
V02,20261002,0,0,0.0,1,400,10
V02,20261003,0,0,0.0,1,400,10
V02,20261004,0,0,0.0,1,400,10
V02,20261005,0,0,0.0,1,400,10
V03,20261001,3,0,0.0168078426626986,0,400,10
V03,20261002,0,0,0.0,1,400,10
V03,20261003,1,0,0.008042050737756,0,400,10
V03,20261004,1,0,0.008042050737756,0,400,10
V03,20261005,3,0,0.0168078426626986,0,400,10
V04,20261001,0,3,0.0,0,400,10
V04,20261002,1,3,0.0,0,400,10
V04,20261003,0,3,0.0,0,400,10
V04,20261004,1,3,0.0,0,400,10
V04,20261005,0,3,0.0,0,400,10
V05,20261001,3,1,0.0048635540467338,0,400,10
V05,20261002,30,1,0.0042277151390715,0,400,10
V05,20261003,13,1,0.000624827329886,0,400,10
V05,20261004,23,1,0.0041837534312028,0,400,10
V05,20261005,28,1,0.0128613217757448,0,400,10
V06,20261001,10,2,0.0,0,400,10
V06,20261002,6,2,0.0,0,400,10
V06,20261003,10,2,0.0,0,400,10
V06,20261004,1,2,0.0,0,400,10
V06,20261005,28,2,0.0077693683064976,0,400,10
V07,20261001,4,0,0.0180987351828131,0,400,10
V07,20261002,0,0,0.0,1,400,10
V07,20261003,1,0,0.0,0,400,10
V07,20261004,3,0,0.0061319032955144,0,400,10
V07,20261005,0,0,0.0,1,400,10
V08,20261001,1,0,0.0025717528832872,0,400,10
V08,20261002,1,0,0.0025717528832872,0,400,10
V08,20261003,11,0,0.0204218179608604,0,400,10
V08,20261004,1,0,0.0025717528832872,0,400,10
V08,20261005,1,0,0.0025717528832872,0,400,10
V09,20261001,3,0,0.0034150335051179,0,400,10
V09,20261002,6,0,0.0163916622040116,0,400,10
V09,20261003,1,0,0.0,0,400,10
V09,20261004,6,0,0.0163916622040116,0,400,10
V09,20261005,3,0,0.0034150335051179,0,400,10
V10,20261001,1,0,0.0369993934083286,0,400,10
V10,20261002,1,0,0.0369993934083286,0,400,10
V10,20261003,3,0,0.0231208867319965,0,400,10
V10,20261004,2,0,0.0203261630107523,0,400,10
V10,20261005,0,0,0.0,1,400,10
V11,20261001,3,1,0.0,0,400,10
V11,20261002,0,1,0.0,0,400,10
V11,20261003,2,1,0.0158456726875212,0,400,10
V11,20261004,0,1,0.0,0,400,10
V11,20261005,2,1,0.0158456726875212,0,400,10
V12,20261001,0,3,0.0,0,400,10
V12,20261002,4,3,0.0,0,400,10
V12,20261003,4,3,0.0,0,400,10
V12,20261004,0,3,0.0,0,400,10
V12,20261005,17,3,0.0115076037335945,0,400,10
