scenario_id,design,K,mu_max,rho,arrival_scv,mean_jump_fraction,tau,qH,beta,jump_cv,cloud_cost_multiplier,deactivation_mean,lambda_H,lambda_L,mean_H,mean_L,cv_H,cv_L,cW,cB,cL,cC,policy_count,diffusion_best_idx,exhaustive_train_idx,holdout_oracle_idx,single_train_idx,selection_idx,final_idx,selection_candidate_count,certified,fallback,certificate_stage_reps,certificate_ambiguous_count,certificate_simulation_count,algorithm_simulation_count,exhaustive_simulation_count,work_reduction,holdout_regret_vs_exhaustive,holdout_regret_vs_oracle,hysteresis_gain_vs_best_single,adaptive_gain_vs_best_single,exhaustive_holdout_objective,adaptive_holdout_objective,single_holdout_objective,selected_alpha_on,selected_alpha_off,exhaustive_alpha_on,exhaustive_alpha_off,pareto_count,distinct_weight_optima,robust_idx,robust_max_additive_regret,equal_weight_idx,elapsed_seconds
C41,confirmatory_iid59_v9b,47.560660539604555,142.68198161881367,0.7748752322515178,1.0,0.06766227835876772,0.972251892628636,0.45442778638574666,1.1798257583169305,0.9973249599459295,1.2916010212448397,0.5761080611866846,13.576050826639582,22.051581123641427,3.70077205021122,2.7353532545039454,0.9973249599459295,0.9973249599459295,1.0,10.0,2.5,0.25,190,0,1,1,0,1,0,34,0,1,20,2,680,982,3830,0.743603133159269,0.004567099805890734,0.004567099805890734,-0.0279658555474321,-0.03266067820676508,1.178130179897485,1.1835108180134088,1.1460790974132935,2.3780330269802277,2.3780330269802277,4.756066053960456,2.3780330269802277,104,9,179,0.43756242815382435,2,29.862720489501953
C42,confirmatory_iid59_v9b,68.1402335616928,204.42070068507837,0.601485712879365,1.0,0.07518741444477663,2.0368569212110814,0.4311209787654635,1.0688138054125764,1.7187738307596714,0.5063248323118617,0.40751488088476434,8.997103912237995,16.062103235329985,5.891781178341905,4.354794783991843,1.7187738307596714,1.7187738307596714,1.0,10.0,2.5,0.25,190,0,1,1,0,0,1,34,0,1,20,1,680,982,3830,0.743603133159269,0.0,0.0,0.011454264695914613,0.011454264695914613,0.6221872592316101,0.6221872592316101,0.6293965337276174,6.81402335616928,3.40701167808464,6.81402335616928,3.40701167808464,120,7,53,0.41705182031372035,3,21.18649411201477
C43,confirmatory_iid59_v9b,57.30082464694216,171.9024739408265,0.5608722986365723,4.0,0.06987622061038216,2.314755629090839,0.6014519519490401,1.275185238065427,1.5843079164612945,0.456388765299144,0.8414860203359267,12.59386218742856,11.290615010110761,4.604559823814537,3.4033703045585706,1.5843079164612945,1.5843079164612945,1.0,10.0,2.5,0.25,190,0,0,0,1,0,0,34,1,0,20,0,338,640,3830,0.8328981723237598,0.0,0.0,0.013314982002890247,0.013314982002890247,1.053402201204845,1.053402201204845,1.0676175091248123,2.8650412323471084,2.8650412323471084,2.8650412323471084,2.8650412323471084,123,4,54,0.4750952031732887,1,37.79669761657715
C44,confirmatory_iid59_v9b,63.6871594707079,191.06147841212368,0.8611758422385666,4.0,0.09188852858947992,1.3837315130373464,0.5980146991995972,0.7518716640240105,0.9085269472067232,0.3206163684904312,0.46649633549895336,14.620620842863957,13.296674669712171,6.729937279877945,4.974301467735873,0.9085269472067232,0.9085269472067232,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,35,1,0,20,0,310,620,3830,0.8381201044386423,0.0,0.0,0.0016191089235542346,0.0016191089235542346,1.7394223404629998,1.7394223404629998,1.7422432220107593,3.184357973535395,3.184357973535395,3.184357973535395,3.184357973535395,153,3,157,0.49684375632242406,0,38.136995792388916
C45,confirmatory_iid59_v9b,61.06010660414083,183.18031981242248,0.5721029494451622,4.0,0.08023824469588733,0.4851972095041015,0.7083059979904438,0.9856701736638385,0.6088403077037796,1.0919274609643703,1.2721107815717951,13.174589773109469,7.340448487873104,5.63425914108902,4.164452408631015,0.6088403077037796,0.6088403077037796,1.0,10.0,2.5,0.25,190,2,0,0,0,0,0,32,1,0,10,0,221,507,3830,0.8676240208877285,0.0,0.0,-0.016663068206159686,-0.016663068206159686,0.8882547085138496,0.8882547085138496,0.8736962483363551,3.0530053302070415,3.0530053302070415,3.0530053302070415,3.0530053302070415,135,4,51,0.4965910238800728,0,18.086636304855347
C46,confirmatory_iid59_v9b,39.108923628994106,117.32677088698232,0.7595347188179746,1.0,0.08438095575344275,0.9544136507311697,0.2844828875198621,1.0898371496452206,0.822547386019373,2.7341345114443985,1.6560734201113199,6.680096743906881,22.731366504003272,3.7950556074483615,2.8050411011574847,0.822547386019373,0.822547386019373,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,32,1,0,20,0,301,587,3830,0.8467362924281985,0.0,0.0,0.0029908101015487195,0.0029908101015487195,1.09487461093735,1.09487461093735,1.0981589959555604,1.9554461814497053,1.9554461814497053,1.9554461814497053,1.9554461814497053,89,6,42,0.3785334163781078,3,19.598302841186523
C47,confirmatory_iid59_v9b,62.738065160359284,188.21419548107787,0.8769959068590524,4.0,0.0889547986072163,0.6243856618206398,0.4677383269180981,1.1240395735352076,0.970283635802113,2.4120790585228025,0.6015873130005035,12.029693378550192,18.520628029969505,6.4179797440481,4.743724158644248,0.970283635802113,0.970283635802113,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,33,1,0,15,0,249,543,3830,0.85822454308094,0.0,0.0,0.0069083960206118775,0.0069083960206118775,1.9179785338292097,1.9179785338292097,1.931320863195031,3.1369032580179645,3.1369032580179645,3.1369032580179645,3.1369032580179645,161,4,159,0.5008703061247939,0,25.048272609710693
C48,confirmatory_iid59_v9b,31.750288023564128,95.25086407069239,0.8865040124236963,4.0,0.06099431881252123,1.785247166999978,0.30925048800748883,0.8364250908769252,1.1978238124953553,0.4310433854523986,1.6386442783762087,11.725331450677555,35.43351495966256,2.2270752686134414,1.6460991115838481,1.1978238124953553,1.1978238124953553,1.0,10.0,2.5,0.25,190,0,1,1,0,1,0,34,0,1,20,8,680,982,3830,0.743603133159269,0.02356190440568444,0.02356190440568444,0.017623917099476465,-0.005522734256256404,1.143866331072381,1.1708180002179893,1.1643873980472406,1.5875144011782065,1.5875144011782065,3.1750288023564126,1.5875144011782065,129,5,61,0.47934220112332543,1,34.25858235359192
C49,confirmatory_iid59_v9b,64.89842094759248,194.69526284277745,0.5594691476054939,4.0,0.054928142446534906,1.998369784285286,0.45030364569387327,0.8786937679770608,1.0553112915384169,0.4127263390118664,0.33827437524378934,11.964928482551068,19.76088611652469,4.099462166919226,3.030037253809863,1.0553112915384169,1.0553112915384169,1.0,10.0,2.5,0.25,190,0,0,3,0,4,1,34,0,1,20,11,680,982,3830,0.743603133159269,0.005291451916014071,0.0128055355751789,-0.013349912547343077,-0.018712004883684408,0.6167482980015933,0.6200117919647522,0.6086232310922306,6.489842094759249,3.2449210473796244,3.2449210473796244,3.2449210473796244,115,5,44,0.41252470834275706,5,26.634817838668823
C50,confirmatory_iid59_v9b,54.6942876239555,164.0828628718665,0.7223095911001398,4.0,0.09695345172239334,0.4271024101392572,0.26831589597184197,1.2495074715530972,0.6168967387290588,3.2039430886183395,0.38073640381280016,5.2147071384680705,19.23915773428765,6.098219970835844,4.507379978443885,0.6168967387290588,0.6168967387290588,1.0,10.0,2.5,0.25,190,0,0,0,0,0,0,32,1,0,15,0,226,512,3830,0.8663185378590078,0.0,0.0,0.0011703781283412247,0.0011703781283412247,1.6712614661508056,1.6712614661508056,1.6732197659688037,2.7347143811977754,2.7347143811977754,2.7347143811977754,2.7347143811977754,122,7,86,0.46294645036644133,0,16.01523184776306
